iter	TotalF1	Logloss
0	0.6546587548	0.6477502462
1	0.6546587548	0.6170747797
2	0.6546587548	0.5963502632
3	0.6546587548	0.5823342608
4	0.6546587548	0.5728371264
5	0.6546587548	0.5663885037
6	0.6546587548	0.5620005636
7	0.6546587548	0.5590094994
8	0.6546587548	0.5569649076
9	0.6546587548	0.5555650486
10	0.6546587548	0.5546019256
11	0.6546587548	0.5539439291
12	0.6546587548	0.553490393
13	0.6546587548	0.5531795213
14	0.6546587548	0.5529648206
15	0.6546587548	0.5528109932
16	0.6546587548	0.5527061011
17	0.6546587548	0.55263421
18	0.6546587548	0.5525826352
19	0.6546587548	0.5525468519
20	0.6546587548	0.5525220501
21	0.6546587548	0.552504963
22	0.6546587548	0.5524923607
23	0.6546587548	0.5524839602
24	0.6546587548	0.5524779522
25	0.6546587548	0.5524743275
26	0.6546587548	0.5524706017
27	0.6546587548	0.5524586515
28	0.6546917009	0.552450482
29	0.6546917009	0.5524483427
30	0.6546917009	0.5524474062
31	0.6547026822	0.5524428471
32	0.6546917009	0.552442725
33	0.6546917009	0.552440256
34	0.6547026822	0.5524373526
35	0.6547026822	0.5524357117
36	0.6547026822	0.5524339819
37	0.6547026822	0.5524334833
38	0.6547026822	0.5524304039
39	0.6547026822	0.5524243044
40	0.6547026822	0.5524196634
41	0.6547026822	0.5524190181
42	0.6547026822	0.5524184281
43	0.6547026822	0.5524084701
44	0.6547026822	0.552408056
45	0.6547026822	0.5524080537
46	0.6547026822	0.5524045797
47	0.6547026822	0.552403827
48	0.6547026822	0.5524017735
49	0.6547026822	0.5524017478
50	0.6547026822	0.5524012689
51	0.6547136632	0.5524000939
52	0.6547136632	0.5523983494
53	0.6547136632	0.5523958156
54	0.6547026822	0.5523925677
55	0.6547026822	0.5523902841
56	0.6547026822	0.5523875982
57	0.6547136632	0.5523839206
58	0.6547246439	0.5523824899
59	0.6547136632	0.5523799667
60	0.6547136632	0.552376334
61	0.6547136632	0.5523738894
62	0.6547136632	0.5523714129
63	0.6547136632	0.5523644323
64	0.6547136632	0.552363211
65	0.6547136632	0.5523565268
66	0.6547246439	0.5523496749
67	0.6547246439	0.5523447273
68	0.6547246439	0.5523425379
69	0.6547246439	0.5523423535
70	0.6547246439	0.5523413618
71	0.6547246439	0.5523394913
72	0.6547246439	0.5523316426
73	0.6547466041	0.5523228928
74	0.6547356242	0.55231627
75	0.6547356242	0.5523037441
76	0.6547466041	0.5523022554
77	0.6547356242	0.5522994983
78	0.6547356242	0.5522973498
79	0.654768563	0.5522915715
80	0.654768563	0.552289706
81	0.654768563	0.5522848073
82	0.6547795419	0.552283189
83	0.6547795419	0.5522831139
84	0.6547795419	0.5522828394
85	0.6547905205	0.5522713227
86	0.6547905205	0.5522697714
87	0.6547795419	0.5522659681
88	0.6547795419	0.5522651627
89	0.6547795419	0.5522644646
90	0.6547795419	0.5522543516
91	0.6547795419	0.5522511882
92	0.6547795419	0.5522503824
93	0.6547795419	0.5522472271
94	0.6547795419	0.5522443537
95	0.6547795419	0.5522432213
96	0.6547905205	0.5522410125
97	0.6548014987	0.5522375319
98	0.6548014987	0.5522355639
99	0.6548014987	0.5522300047
100	0.6548124766	0.5522277385
101	0.6548454082	0.5522214154
102	0.6548563847	0.5522164252
103	0.6548454082	0.5522124788
104	0.6548563847	0.5522068758
105	0.6548344313	0.5521985119
106	0.6548344313	0.5521955704
107	0.6548454082	0.5521917112
108	0.6548454082	0.5521897378
109	0.6548454082	0.5521891832
110	0.6548454082	0.5521883145
111	0.6548454082	0.5521854582
112	0.6548454082	0.5521837382
113	0.6548454082	0.5521832727
114	0.6548454082	0.5521815149
115	0.6548454082	0.5521786848
116	0.6548454082	0.5521786418
117	0.6548563847	0.5521747453
118	0.6548673608	0.5521683548
119	0.6548893121	0.552165979
120	0.6548893121	0.5521615026
121	0.6548893121	0.5521613425
122	0.6548893121	0.552161236
123	0.6548893121	0.5521599951
124	0.6548893121	0.552155876
125	0.6548893121	0.5521554486
126	0.6548893121	0.5521540709
127	0.6548893121	0.5521508317
128	0.6548893121	0.5521490062
129	0.6548893121	0.5521466627
130	0.6549002872	0.5521443105
131	0.6549002872	0.552143181
132	0.6549002872	0.5521418072
133	0.6549002872	0.5521388135
134	0.6549002872	0.5521385038
135	0.6549002872	0.5521377995
136	0.6549002872	0.5521343919
137	0.654898012	0.5521334183
138	0.654898012	0.5521307887
139	0.654898012	0.5521294938
140	0.654898012	0.5521284386
141	0.654898012	0.5521277403
142	0.6549002872	0.5521263154
143	0.6549002872	0.5521239461
144	0.6549002872	0.5521229924
145	0.6549002872	0.5521220623
146	0.654898012	0.5521205527
147	0.6548893121	0.5521171743
148	0.6548893121	0.5521161387
149	0.6548893121	0.5521159906
150	0.6549002872	0.5521080866
151	0.654911262	0.5521042429
152	0.6549222364	0.5521019813
153	0.654911262	0.552101023
154	0.654911262	0.5521005962
155	0.654911262	0.5520988178
156	0.654911262	0.5520982363
157	0.6549222364	0.5520958932
158	0.6549222364	0.5520927436
159	0.6549332105	0.5520898096
160	0.6549551576	0.5520853048
161	0.6549551576	0.5520828172
162	0.6549880756	0.5520817328
163	0.6549880756	0.5520791969
164	0.6549880756	0.5520774422
165	0.6549880756	0.5520772196
166	0.6549880756	0.5520707215
167	0.6549880756	0.5520690782
168	0.6549880756	0.5520674725
169	0.6549880756	0.5520633755
170	0.6549880756	0.5520569613
171	0.6549880756	0.5520559994
172	0.6549880756	0.5520525733
173	0.6549880756	0.5520501354
174	0.6549880756	0.552046899
175	0.6549880756	0.552045761
176	0.6549880756	0.5520434115
177	0.6549880756	0.5520423479
178	0.6549880756	0.5520397051
179	0.6549880756	0.5520379244
180	0.6549880756	0.5520373605
181	0.6549880756	0.5520363364
182	0.6549990476	0.5520344132
183	0.6549990476	0.5520318917
184	0.6549990476	0.5520308142
185	0.6549990476	0.5520283121
186	0.6549990476	0.5520271784
187	0.6550100193	0.5520231617
188	0.6550209906	0.5520214891
189	0.6550100193	0.5520185203
190	0.6550100193	0.5520180863
191	0.6549990476	0.5520174968
192	0.6550100193	0.5520170229
193	0.6550100193	0.5520157557
194	0.6550100193	0.5520150141
195	0.6550209906	0.5520098708
196	0.6550209906	0.5520092098
197	0.6550209906	0.5520088131
198	0.6550100193	0.5520085782
199	0.6550100193	0.5520057917
200	0.6550100193	0.5520046071
201	0.6550209906	0.5520042836
202	0.6550319616	0.5520020642
203	0.6550319616	0.5520018508
204	0.6550319616	0.5520015963
205	0.6550319616	0.5520002545
206	0.6550319616	0.5519968085
207	0.6550319616	0.5519933491
208	0.6550319616	0.55199205
209	0.6550319616	0.5519916037
210	0.6550429322	0.5519910452
211	0.6550429322	0.5519909473
212	0.6550319616	0.5519900658
213	0.6550539025	0.5519889749
214	0.6550648724	0.5519870827
215	0.6550648724	0.551985852
216	0.6550648724	0.5519850478
217	0.6550539025	0.5519830945
218	0.6550539025	0.5519830526
219	0.6550539025	0.5519809364
220	0.6550539025	0.5519780832
221	0.6550539025	0.5519775932
222	0.6550648724	0.5519761652
