iter	Passed	Remaining
0	48	97829
1	51	51594
2	54	36109
3	56	28285
4	59	23685
5	61	20540
6	64	18293
7	66	16529
8	68	15144
9	70	14036
10	72	13135
11	74	12375
12	76	11743
13	78	11188
14	80	10709
15	83	10292
16	85	9926
17	86	9574
18	88	9258
19	90	8977
20	92	8726
21	94	8498
22	96	8282
23	98	8086
24	100	7912
25	102	7745
26	103	7591
27	105	7448
28	107	7318
29	109	7196
30	111	7075
31	113	6966
32	115	6864
33	117	6768
34	119	6682
35	120	6597
36	122	6512
37	124	6436
38	126	6365
39	128	6295
40	130	6231
41	132	6170
42	134	6112
43	136	6057
44	138	6000
45	140	5949
46	141	5900
47	143	5854
48	145	5806
49	147	5759
50	149	5716
