step,mloss,gloss,loss
100.0,1.3532,1.4173,2.7705
200.0,1.2147,0.9998,2.2145
300.0,1.1971,0.9978,2.1949
400.0,1.1805,0.9724,2.1529000000000003
500.0,1.1625,0.9455,2.108
600.0,1.1522,0.9261,2.0783
700.0,1.1137,0.8734,1.9870999999999999
800.0,1.0747,0.8446,1.9193
900.0,1.0623,0.8346,1.8969
1000.0,1.0493,0.8137,1.863
1100.0,1.0268,0.7592,1.786
1200.0,1.0116,0.7374,1.749
1300.0,1.0091,0.7213,1.7304000000000002
1400.0,1.0007,0.6799,1.6805999999999999
1500.0,0.9907,0.6507,1.6414
1600.0,0.9941,0.6428,1.6369
1700.0,0.9874,0.6346,1.622
1800.0,0.9809,0.6347,1.6156000000000001
1900.0,0.9705,0.6313,1.6018
2000.0,0.9745,0.627,1.6015000000000001
2100.0,0.9655,0.6243,1.5897999999999999
2200.0,0.9566,0.6202,1.5768
2300.0,0.9604,0.6235,1.5839
2400.0,0.9691,0.6206,1.5897000000000001
2500.0,0.9576,0.6185,1.5761
2600.0,0.9587,0.6151,1.5737999999999999
2700.0,0.9573,0.6187,1.576
2800.0,0.9604,0.6174,1.5777999999999999
2900.0,0.959,0.6152,1.5741999999999998
3000.0,0.967,0.6175,1.5845
3100.0,0.9614,0.6175,1.5789
3200.0,0.9599,0.6123,1.5722
3300.0,0.9612,0.6102,1.5714000000000001
3400.0,0.9585,0.6118,1.5703
3500.0,0.9515,0.6101,1.5615999999999999
3600.0,0.967,0.6187,1.5857
3700.0,0.951,0.6143,1.5653
3800.0,0.9427,0.6007,1.5434
3900.0,0.9541,0.5996,1.5537
4000.0,0.9535,0.6106,1.5641
4100.0,0.9519,0.603,1.5549
4200.0,0.9578,0.6108,1.5686
4300.0,0.9472,0.6045,1.5517
4400.0,1.1304,0.8624,1.9928000000000001
4500.0,1.0191,0.7292,1.7483
4600.0,0.9893,0.6566,1.6459
4700.0,0.9688,0.6208,1.5896
4800.0,0.9642,0.6132,1.5774
4900.0,0.961,0.6163,1.5773
5000.0,0.9603,0.609,1.5693000000000001
5100.0,0.9629,0.6186,1.5815000000000001
5200.0,0.9495,0.6008,1.5503
5300.0,0.9531,0.6023,1.5554
5400.0,0.954,0.6048,1.5588
5500.0,0.9562,0.6061,1.5623
5600.0,0.9582,0.6042,1.5624
5700.0,0.9683,0.6383,1.6066
5800.0,0.9488,0.6123,1.5611
5900.0,0.948,0.6036,1.5516
6000.0,0.9485,0.587,1.5354999999999999
6100.0,0.9486,0.5947,1.5433
6200.0,0.9452,0.6012,1.5464
6300.0,0.9453,0.5882,1.5335
6400.0,0.9507,0.6188,1.5695000000000001
6500.0,0.934,0.5972,1.5312000000000001
6600.0,0.9371,0.578,1.5151
6700.0,0.9446,0.5732,1.5178
6800.0,0.9566,0.5968,1.5534
6900.0,0.9462,0.5963,1.5425
7000.0,0.9418,0.5874,1.5292
7100.0,0.9472,0.5978,1.545
7200.0,0.9372,0.5833,1.5205000000000002
7300.0,0.9398,0.5865,1.5263
7400.0,0.9459,0.5494,1.4952999999999999
7500.0,0.9452,0.5453,1.4905
7600.0,0.9396,0.5672,1.5068000000000001
7700.0,0.9333,0.5398,1.4731
7800.0,0.9391,0.5469,1.4860000000000002
7900.0,0.9374,0.5368,1.4742000000000002
8000.0,0.9414,0.5525,1.4939
8100.0,0.9285,0.5334,1.4619
8200.0,0.935,0.5479,1.4829
8300.0,0.9289,0.5301,1.459
8400.0,0.933,0.5326,1.4656
8500.0,0.9341,0.5233,1.4574
8600.0,0.9253,0.5117,1.437
8700.0,0.9272,0.5304,1.4576
8800.0,0.9279,0.5159,1.4438
8900.0,0.9342,0.5199,1.4541
9000.0,0.9273,0.5055,1.4327999999999999
9100.0,0.9289,0.5,1.4289
9200.0,0.9304,0.5129,1.4433
9300.0,0.9265,0.5087,1.4352
9400.0,0.9215,0.5001,1.4216
9500.0,0.9253,0.4882,1.4135
9600.0,0.9202,0.4902,1.4104
9700.0,0.9261,0.5037,1.4298000000000002
9800.0,0.9253,0.4899,1.4152
9900.0,0.9259,0.4834,1.4093
10000.0,0.9246,0.4973,1.4219
10100.0,0.9223,0.4844,1.4067
10200.0,0.9179,0.4766,1.3945
10300.0,0.9239,0.483,1.4069
10400.0,0.925,0.4825,1.4075
10500.0,0.9189,0.4838,1.4027
10600.0,0.9237,0.4704,1.3941
10700.0,0.9229,0.4777,1.4006
10800.0,0.9178,0.4653,1.3831
10900.0,0.9269,0.4691,1.396
11000.0,0.9232,0.4622,1.3854
11100.0,0.9284,0.4784,1.4068
11200.0,0.9219,0.4488,1.3707
11300.0,0.9237,0.4475,1.3712
11400.0,0.922,0.4467,1.3687
11500.0,0.9279,0.4402,1.3680999999999999
11600.0,0.92,0.4086,1.3286
11700.0,0.9248,0.4063,1.3311
11800.0,0.9312,0.4283,1.3595000000000002
11900.0,0.9217,0.3833,1.305
12000.0,0.9271,0.3773,1.3044
12100.0,0.9207,0.3676,1.2883
12200.0,0.9225,0.3569,1.2793999999999999
12300.0,0.9198,0.3513,1.2711
12400.0,0.9166,0.3523,1.2689
12500.0,0.919,0.3489,1.2679
12600.0,0.9193,0.337,1.2563
12700.0,0.918,0.3438,1.2618
12800.0,0.9204,0.3355,1.2559
12900.0,0.9206,0.3276,1.2482
13000.0,0.916,0.3318,1.2478
13100.0,0.9206,0.3305,1.2511
13200.0,0.9176,0.3235,1.2410999999999999
13300.0,0.9186,0.3246,1.2431999999999999
13400.0,0.9129,0.325,1.2379
13500.0,0.914,0.3216,1.2356
13600.0,0.9105,0.3255,1.236
13700.0,0.9137,0.3154,1.2290999999999999
13800.0,0.9156,0.3177,1.2332999999999998
13900.0,0.9126,0.3152,1.2278
14000.0,0.9154,0.315,1.2304
14100.0,0.9153,0.3174,1.2327
14200.0,0.91,0.3158,1.2258
14300.0,0.9125,0.3128,1.2253
14400.0,0.9096,0.3112,1.2207999999999999
14500.0,0.9114,0.3103,1.2217
14600.0,0.9132,0.313,1.2262
14700.0,0.9109,0.3091,1.22
14800.0,0.9119,0.3096,1.2215
14900.0,0.9102,0.3062,1.2164000000000001
15000.0,0.9111,0.3088,1.2199
15100.0,0.9116,0.3095,1.2210999999999999
15200.0,0.9069,0.3085,1.2154
15300.0,0.9088,0.3039,1.2127000000000001
15400.0,0.9113,0.3065,1.2178
15500.0,0.9065,0.3053,1.2118
15600.0,0.912,0.3063,1.2183000000000002
15700.0,0.9126,0.3114,1.224
15800.0,0.9058,0.3031,1.2089
15900.0,0.9077,0.3055,1.2132
16000.0,0.9098,0.3033,1.2131
16100.0,0.9105,0.3095,1.22
16200.0,0.9104,0.3019,1.2123
16300.0,0.9101,0.3025,1.2126000000000001
16400.0,0.9096,0.2982,1.2078
16500.0,0.9089,0.2992,1.2081
16600.0,0.9055,0.2991,1.2046
16700.0,0.9037,0.3012,1.2048999999999999
16800.0,0.9074,0.2987,1.2061
16900.0,0.9086,0.3004,1.209
17000.0,0.9053,0.2991,1.2044
17100.0,0.9042,0.2956,1.1998
17200.0,0.9061,0.2981,1.2042
17300.0,0.9032,0.298,1.2012
17400.0,0.9047,0.2975,1.2022
17500.0,0.9032,0.2982,1.2014
17600.0,0.9053,0.2947,1.2
17700.0,0.9063,0.2951,1.2014
17800.0,0.9036,0.2954,1.1989999999999998
17900.0,0.9054,0.297,1.2024
18000.0,0.906,0.2944,1.2004000000000001
18100.0,0.9017,0.2953,1.197
18200.0,0.9061,0.2955,1.2016
18300.0,0.9033,0.2948,1.1981
18400.0,0.9065,0.2947,1.2012
18500.0,0.8987,0.2907,1.1894
18600.0,0.9043,0.2938,1.1981
18700.0,0.9037,0.293,1.1966999999999999
18800.0,0.9094,0.294,1.2034
18900.0,0.9025,0.2902,1.1926999999999999
19000.0,0.9003,0.2927,1.193
19100.0,0.9015,0.2891,1.1905999999999999
19200.0,0.9068,0.29,1.1968
19300.0,0.9034,0.2902,1.1936
19400.0,0.9002,0.2875,1.1877
