step,mloss,gloss,loss
10.0,1.6458,1.3276,2.9734
20.0,1.3383,1.0398,2.3781
30.0,1.3532,1.012,2.3651999999999997
40.0,1.2657,1.0234,2.2891000000000004
50.0,1.2899,1.0133,2.3032000000000004
60.0,1.3002,1.0232,2.3234000000000004
70.0,1.3419,1.0069,2.3487999999999998
80.0,1.2695,1.0027,2.2721999999999998
90.0,1.2518,1.0487,2.3005
100.0,1.3209,1.0519,2.3728
110.0,1.2731,1.0409,2.314
120.0,1.2556,1.0101,2.2657
130.0,1.2503,1.0096,2.2599
140.0,1.2837,1.035,2.3186999999999998
150.0,1.2976,1.0335,2.3311
160.0,1.3041,1.0249,2.3289999999999997
170.0,1.2521,1.0486,2.3007
180.0,1.2537,1.0294,2.2831
190.0,1.2634,1.0341,2.2975000000000003
200.0,1.2894,1.0062,2.2956000000000003
210.0,1.3314,1.0317,2.3631
220.0,1.2073,1.0104,2.2177
230.0,1.2437,1.0278,2.2715
240.0,1.2376,1.0347,2.2723
250.0,1.3279,1.0249,2.3528000000000002
260.0,1.2583,1.0043,2.2626
270.0,1.2492,1.016,2.2652
280.0,1.2429,1.0023,2.2451999999999996
290.0,1.229,1.006,2.2350000000000003
300.0,1.187,1.0123,2.1993
310.0,1.2839,1.0121,2.2960000000000003
320.0,1.2703,0.9942,2.2645
330.0,1.2027,0.9919,2.1946000000000003
340.0,1.2074,1.0225,2.2298999999999998
350.0,1.2609,0.983,2.2439
360.0,1.2573,0.99,2.2473
370.0,1.166,1.0036,2.1696
380.0,1.2328,1.0054,2.2382
390.0,1.1809,0.993,2.1739
400.0,1.2101,1.0141,2.2241999999999997
410.0,1.2072,1.007,2.2142
420.0,1.1892,1.0,2.1892
430.0,1.1984,1.0049,2.2032999999999996
440.0,1.26,1.0092,2.2692
450.0,1.1689,1.0028,2.1717
460.0,1.1702,0.9754,2.1456
470.0,1.2287,1.0094,2.2381
480.0,1.2762,0.9893,2.2655
490.0,1.2056,1.0029,2.2085
500.0,1.1813,1.0058,2.1871
