step,mloss,gloss,loss
10.0,1.8015,1.1724,2.9739000000000004
20.0,1.5071,1.058,2.5651
30.0,1.4533,1.0204,2.4737
40.0,1.377,1.0291,2.4061
50.0,1.4038,1.0354,2.4392
60.0,1.3562,1.019,2.3752
70.0,1.3444,0.9956,2.34
80.0,1.398,0.9838,2.3818
90.0,1.2908,1.0158,2.3066
100.0,1.3826,1.0142,2.3968
110.0,1.2955,1.0074,2.3029
120.0,1.2961,0.9902,2.2862999999999998
130.0,1.3205,0.9996,2.3201
140.0,1.3475,1.027,2.3745
150.0,1.4164,1.0651,2.4815
160.0,1.3675,1.045,2.4124999999999996
170.0,1.5828,1.567,3.1498
180.0,1.4626,1.2719,2.7344999999999997
190.0,1.5618,1.1753,2.7371
200.0,3.28,4.2636,7.5436
210.0,6.0336,25.0997,31.1333
220.0,2.4445,2.1333,4.5778
230.0,1.4877,1.0519,2.5396
240.0,1.2941,1.0285,2.3226
250.0,1.4115,1.0161,2.4276
260.0,1.3085,0.9964,2.3049
270.0,1.3704,1.0108,2.3811999999999998
280.0,1.2827,0.9969,2.2796
290.0,1.3118,0.9996,2.3114
300.0,1.2355,1.0056,2.2411000000000003
310.0,1.3118,1.0057,2.3175
320.0,1.3286,0.9893,2.3179
330.0,1.2745,0.9896,2.2641
340.0,1.2567,1.0178,2.2744999999999997
350.0,1.3245,0.9798,2.3043
360.0,1.3108,0.9862,2.2969999999999997
370.0,1.2398,1.0021,2.2419000000000002
380.0,1.2965,1.0042,2.3007
390.0,1.2455,0.9942,2.2397
400.0,1.2692,1.0098,2.279
410.0,1.2768,1.0077,2.2845
420.0,1.2376,0.9993,2.2369
430.0,1.2588,1.0037,2.2625
440.0,1.348,1.0092,2.3572
450.0,1.2501,1.0023,2.2523999999999997
460.0,1.2597,0.9749,2.2346
470.0,1.3247,1.0102,2.3349
480.0,1.3676,0.9904,2.3579999999999997
490.0,1.287,1.0034,2.2904
500.0,1.2631,1.0062,2.2693
510.0,1.2349,0.9989,2.2338
520.0,1.2945,1.0144,2.3089
530.0,1.3194,0.9851,2.3045
540.0,1.2965,0.9842,2.2807
550.0,1.2332,1.0013,2.2345
560.0,1.3267,0.9875,2.3142
570.0,1.3717,1.0045,2.3762
580.0,1.2159,1.0132,2.2291
590.0,1.2537,0.9974,2.2511
600.0,1.3255,0.9774,2.3029
610.0,1.3149,0.9851,2.3
620.0,1.3026,1.0075,2.3101000000000003
630.0,1.2962,1.0069,2.3030999999999997
640.0,1.3356,0.9895,2.3251
650.0,1.2784,1.03,2.3084
660.0,1.2917,0.9997,2.2914000000000003
670.0,1.3116,1.0082,2.3198
680.0,1.2458,1.004,2.2498
690.0,1.3359,1.033,2.3689
700.0,1.4344,1.0066,2.441
710.0,1.3221,1.0194,2.3415
720.0,1.3504,0.9963,2.3467000000000002
730.0,1.3043,1.0052,2.3095
740.0,1.3735,1.0032,2.3767
750.0,1.367,1.0004,2.3674
760.0,1.3314,0.9854,2.3167999999999997
770.0,1.2874,1.0032,2.2906000000000004
780.0,1.281,0.9893,2.2702999999999998
790.0,1.3048,0.986,2.2908
800.0,1.3359,0.995,2.3309
810.0,1.2216,1.0025,2.2241
820.0,1.3427,0.9962,2.3388999999999998
830.0,1.3021,0.9988,2.3009
840.0,1.2643,1.0055,2.2698
850.0,1.3481,0.9787,2.3268
860.0,1.2844,0.9986,2.283
870.0,1.3484,1.0044,2.3528000000000002
880.0,1.2535,0.9828,2.2363
890.0,1.3166,1.0202,2.3368
900.0,1.2823,0.9988,2.2811
910.0,1.2687,0.993,2.2617
920.0,1.3573,0.9955,2.3528000000000002
930.0,1.2788,0.9939,2.2727
940.0,1.3172,1.0109,2.3281
950.0,1.3526,0.9897,2.3423
960.0,1.2955,1.0049,2.3004
970.0,1.2671,0.9989,2.266
980.0,1.2824,0.9994,2.2818
990.0,1.3533,1.021,2.3743
1000.0,1.388,0.9746,2.3626
1010.0,1.3596,1.0107,2.3703
1020.0,1.3343,1.0105,2.3448
1030.0,1.317,1.0259,2.3429
1040.0,1.2648,0.9974,2.2622
1050.0,1.2953,1.0005,2.2958
1060.0,1.2675,0.9984,2.2659000000000002
1070.0,1.3081,1.0006,2.3087
1080.0,1.3666,1.0385,2.4051
1090.0,1.3381,1.0041,2.3422
1100.0,1.3176,1.0209,2.3385
1110.0,1.3039,1.0021,2.306
1120.0,1.3458,1.0126,2.3584
1130.0,1.283,1.0019,2.2849
1140.0,1.2626,1.01,2.2725999999999997
1150.0,1.2851,0.994,2.2790999999999997
1160.0,1.2582,1.0083,2.2664999999999997
1170.0,1.2859,1.0021,2.2880000000000003
1180.0,1.3096,0.989,2.2986
1190.0,1.2517,1.0033,2.255
1200.0,1.2715,0.997,2.2685
