step,mloss,gloss,loss
100.0,1.3236,1.0492,2.3728
200.0,1.1746,1.0014,2.176
300.0,1.145,1.0007,2.1456999999999997
400.0,1.1303,1.0008,2.1311
500.0,1.1217,1.0003,2.122
600.0,1.1112,0.9983,2.1094999999999997
700.0,1.1026,0.997,2.0996
800.0,1.1031,0.9975,2.1006
900.0,1.0995,0.9958,2.0953
1000.0,1.0856,0.9849,2.0705
1100.0,1.078,0.9788,2.0568
1200.0,1.0726,0.966,2.0385999999999997
1300.0,1.0653,0.9469,2.0122
1400.0,1.0661,0.9317,1.9978
1500.0,1.0557,0.9124,1.9681000000000002
1600.0,1.0467,0.8862,1.9329
1700.0,1.0408,0.8663,1.9070999999999998
1800.0,1.0378,0.8499,1.8877000000000002
1900.0,1.028,0.826,1.854
2000.0,1.027,0.8106,1.8376
2100.0,1.022,0.7945,1.8165
2200.0,1.0201,0.7844,1.8045
2300.0,1.0197,0.7761,1.7958
2400.0,1.0184,0.7662,1.7846
2500.0,1.0131,0.7556,1.7687
2600.0,1.0147,0.7516,1.7663
2700.0,1.0146,0.7422,1.7568
2800.0,1.0126,0.7331,1.7456999999999998
2900.0,1.0145,0.7373,1.7517999999999998
3000.0,1.0196,0.728,1.7476
3100.0,1.0145,0.7154,1.7299
3200.0,1.0144,0.7078,1.7222
3300.0,1.016,0.7059,1.7219
3400.0,1.0218,0.7047,1.7265000000000001
