step,mloss,gloss,loss
100.0,1.3592,1.0546,2.4138
200.0,1.192,0.9921,2.1841
300.0,1.1508,0.9453,2.0961
400.0,1.1235,0.878,2.0015
500.0,1.1202,0.8087,1.9289
600.0,1.0669,0.7135,1.7804
700.0,1.0449,0.679,1.7239
800.0,1.0302,0.6784,1.7086000000000001
900.0,1.0248,0.6656,1.6904
1000.0,1.0108,0.6595,1.6703
1100.0,1.0144,0.6576,1.672
1200.0,1.0081,0.6573,1.6654
1300.0,1.0015,0.6543,1.6558000000000002
1400.0,0.9978,0.6491,1.6469
1500.0,0.9969,0.6467,1.6436000000000002
1600.0,0.9933,0.6467,1.6400000000000001
1700.0,0.9899,0.6434,1.6333
1800.0,0.9905,0.649,1.6395
1900.0,0.9841,0.6421,1.6261999999999999
2000.0,0.9926,0.6434,1.6360000000000001
2100.0,0.9876,0.6394,1.627
2200.0,0.9794,0.6392,1.6186
2300.0,0.9837,0.6386,1.6223
2400.0,0.9866,0.6317,1.6183
2500.0,0.9838,0.6276,1.6114000000000002
2600.0,0.9843,0.6294,1.6137
2700.0,0.9785,0.6222,1.6007
2800.0,0.9803,0.6167,1.597
2900.0,0.9796,0.615,1.5946
3000.0,0.9804,0.6042,1.5846
3100.0,0.9898,0.6334,1.6232
3200.0,0.9867,0.6234,1.6101
3300.0,0.9765,0.5927,1.5692
3400.0,0.974,0.5943,1.5683
3500.0,1.0044,0.6601,1.6644999999999999
3600.0,0.9891,0.6356,1.6247
3700.0,0.971,0.6163,1.5873
3800.0,0.9724,0.5962,1.5686
3900.0,0.9725,0.5836,1.5561
4000.0,0.9729,0.5944,1.5673
4100.0,0.9714,0.5887,1.5601
4200.0,0.9692,0.5654,1.5346
4300.0,0.9656,0.5752,1.5408
4400.0,0.9663,0.551,1.5173
4500.0,0.9721,0.5503,1.5224
4600.0,0.9857,0.5679,1.5535999999999999
4700.0,0.967,0.5463,1.5133
4800.0,0.9665,0.5085,1.475
4900.0,0.968,0.5667,1.5347
5000.0,0.9601,0.5107,1.4708
5100.0,0.97,0.5272,1.4971999999999999
5200.0,0.9601,0.5212,1.4813
5300.0,0.9647,0.4921,1.4567999999999999
5400.0,0.9593,0.5068,1.4661
5500.0,0.9676,0.502,1.4696
5600.0,0.9677,0.4622,1.4299
5700.0,0.9594,0.4761,1.4355
5800.0,0.9536,0.4175,1.3711
5900.0,0.9601,0.4762,1.4363
6000.0,0.9593,0.4344,1.3937
6100.0,0.9568,0.4079,1.3647
6200.0,0.9496,0.4038,1.3534
6300.0,0.9507,0.387,1.3377
6400.0,0.9477,0.4102,1.3578999999999999
6500.0,0.9504,0.3752,1.3256000000000001
6600.0,0.9517,0.4025,1.3542
6700.0,0.9506,0.3615,1.3121
6800.0,0.9493,0.3621,1.3114
6900.0,0.9544,0.3609,1.3153000000000001
7000.0,0.9472,0.3769,1.3241
7100.0,0.9487,0.3607,1.3094000000000001
7200.0,0.9478,0.3562,1.304
7300.0,0.9486,0.3728,1.3214000000000001
7400.0,0.9478,0.3522,1.3
7500.0,0.9495,0.3524,1.3019
7600.0,0.9465,0.3471,1.2936
7700.0,0.9463,0.3512,1.2975
7800.0,0.9438,0.3468,1.2906
7900.0,0.9476,0.347,1.2946
8000.0,0.9468,0.3705,1.3173
8100.0,0.9484,0.3418,1.2902
8200.0,0.9422,0.3388,1.2810000000000001
8300.0,0.9441,0.3437,1.2878
8400.0,0.9462,0.3414,1.2876
8500.0,0.9426,0.3471,1.2897
8600.0,0.9471,0.339,1.2861
8700.0,0.9391,0.34,1.2791000000000001
8800.0,0.9401,0.3417,1.2818
8900.0,0.9446,0.3362,1.2808
9000.0,0.9444,0.3379,1.2823
9100.0,0.9444,0.3364,1.2808
9200.0,0.9441,0.337,1.2811000000000001
9300.0,0.9447,0.3368,1.2814999999999999
9400.0,0.9402,0.3347,1.2749000000000001
9500.0,0.9424,0.333,1.2754
9600.0,0.9394,0.3331,1.2725
9700.0,0.9401,0.3364,1.2765
9800.0,0.9428,0.3298,1.2726
9900.0,0.9423,0.3359,1.2782
10000.0,0.9448,0.3278,1.2726
10100.0,0.9366,0.3308,1.2673999999999999
10200.0,0.9391,0.3298,1.2689
10300.0,0.9438,0.3299,1.2737
10400.0,0.9427,0.331,1.2737
10500.0,0.9421,0.3318,1.2739
10600.0,0.9418,0.3288,1.2706
10700.0,0.9412,0.3274,1.2686000000000002
10800.0,0.9371,0.3282,1.2653
10900.0,0.9447,0.327,1.2717
11000.0,0.9365,0.3276,1.2641
11100.0,0.9433,0.3272,1.2705
11200.0,0.9387,0.3241,1.2628
11300.0,0.9386,0.3288,1.2673999999999999
11400.0,0.9362,0.327,1.2632
11500.0,0.943,0.3279,1.2709
11600.0,0.935,0.3206,1.2556
11700.0,0.9402,0.3256,1.2658
11800.0,0.9404,0.3254,1.2658
11900.0,0.9399,0.3227,1.2626
12000.0,0.9427,0.3249,1.2676
12100.0,0.9394,0.3216,1.2610000000000001
12200.0,0.9371,0.3237,1.2608000000000001
12300.0,0.9364,0.3248,1.2612
12400.0,0.9405,0.3204,1.2609
12500.0,0.9394,0.3255,1.2649
12600.0,0.9397,0.3262,1.2659
12700.0,0.9351,0.3188,1.2539
12800.0,0.9385,0.3191,1.2576
12900.0,0.9457,0.3224,1.2681
13000.0,0.9383,0.3167,1.255
13100.0,0.9417,0.3218,1.2635
13200.0,0.941,0.3214,1.2624
13300.0,0.9429,0.3172,1.2601
13400.0,0.9316,0.3253,1.2569
13500.0,0.9399,0.3137,1.2536
13600.0,0.9347,0.3223,1.257
13700.0,0.9358,0.32,1.2558
13800.0,0.9424,0.3196,1.262
13900.0,0.9374,0.3137,1.2511
14000.0,0.9376,0.3152,1.2528
14100.0,0.9351,0.318,1.2531
14200.0,0.9362,0.3168,1.2530000000000001
14300.0,0.9403,0.316,1.2563
14400.0,0.934,0.3144,1.2484000000000002
14500.0,0.9367,0.3172,1.2539
14600.0,0.943,0.3182,1.2611999999999999
14700.0,0.9338,0.3111,1.2449
14800.0,0.9345,0.3126,1.2471
14900.0,0.9392,0.3185,1.2577
15000.0,0.941,0.3097,1.2507
15100.0,0.935,0.3163,1.2513
15200.0,0.938,0.3112,1.2491999999999999
15300.0,0.9311,0.3105,1.2416
15400.0,0.9345,0.3101,1.2446
15500.0,0.9341,0.3124,1.2465000000000002
15600.0,0.9343,0.3165,1.2508
15700.0,0.9366,0.313,1.2496
15800.0,0.9331,0.3091,1.2422
15900.0,0.9382,0.3129,1.2511
16000.0,0.9333,0.3095,1.2428
16100.0,0.9343,0.3099,1.2442
16200.0,0.9382,0.3096,1.2478
16300.0,0.9351,0.3105,1.2456
16400.0,0.9351,0.3091,1.2442
16500.0,0.933,0.31,1.243
16600.0,0.9325,0.3072,1.2397
16700.0,0.932,0.3105,1.2425000000000002
16800.0,0.9354,0.3088,1.2442
16900.0,0.9375,0.3079,1.2454
17000.0,0.9333,0.308,1.2413
17100.0,0.9325,0.3079,1.2404
17200.0,0.9319,0.3113,1.2431999999999999
17300.0,0.934,0.3082,1.2422
17400.0,0.933,0.3019,1.2349
17500.0,0.9355,0.3024,1.2379
17600.0,0.9328,0.3061,1.2389
17700.0,0.9323,0.3057,1.238
17800.0,0.9326,0.3067,1.2393
17900.0,0.9296,0.3075,1.2370999999999999
18000.0,0.9352,0.3042,1.2394
18100.0,0.929,0.3048,1.2338
18200.0,0.933,0.3042,1.2372
18300.0,0.9309,0.3041,1.2349999999999999
18400.0,0.9335,0.3022,1.2357
18500.0,0.93,0.3062,1.2362000000000002
18600.0,0.9344,0.3048,1.2392
18700.0,0.9329,0.3016,1.2345
18800.0,0.9344,0.3021,1.2365
18900.0,0.9328,0.3058,1.2386
19000.0,0.9297,0.2997,1.2294
19100.0,0.9302,0.301,1.2312
19200.0,0.9354,0.3023,1.2377
19300.0,0.9316,0.3021,1.2337
19400.0,0.9317,0.3014,1.2330999999999999
19500.0,0.9284,0.3017,1.2301
19600.0,0.9305,0.299,1.2295
19700.0,0.9291,0.3019,1.231
19800.0,0.9311,0.3028,1.2339
19900.0,0.9318,0.299,1.2308
20000.0,0.9317,0.3003,1.232
20100.0,0.9326,0.2992,1.2318
20200.0,0.9279,0.2996,1.2275
20300.0,0.932,0.3013,1.2333
20400.0,0.9324,0.2975,1.2299
20500.0,0.9276,0.3015,1.2290999999999999
20600.0,0.9291,0.2963,1.2254
20700.0,0.9315,0.2997,1.2312
20800.0,0.9328,0.3037,1.2365
20900.0,0.9282,0.2975,1.2257
21000.0,0.9294,0.2982,1.2276
21100.0,0.9282,0.2973,1.2255
21200.0,0.929,0.2953,1.2243
21300.0,0.9275,0.2953,1.2227999999999999
21400.0,0.9285,0.2961,1.2246
21500.0,0.9291,0.2963,1.2254
21600.0,0.9296,0.2966,1.2262
21700.0,0.9287,0.2956,1.2243
21800.0,0.9287,0.2938,1.2225
21900.0,0.9323,0.2968,1.2291
22000.0,0.9263,0.2963,1.2226
22100.0,0.93,0.2934,1.2234
