step,mloss,gloss,loss
100.0,1.4407,1.0025,2.4432
200.0,1.2821,0.9993,2.2814
300.0,1.2794,1.0005,2.2799
400.0,1.2717,1.0001,2.2718
500.0,1.2617,1.0004,2.2621
600.0,1.2512,1.0006,2.2518000000000002
700.0,1.2361,1.0007,2.2367999999999997
800.0,1.2232,1.0007,2.2239
900.0,1.2174,1.0005,2.2179
1000.0,1.2113,1.0007,2.2119999999999997
1100.0,1.2088,1.0007,2.2095000000000002
1200.0,1.2063,1.0008,2.2070999999999996
1300.0,1.2009,1.0002,2.2011000000000003
1400.0,1.199,1.0008,2.1997999999999998
1500.0,1.2006,1.0007,2.2013
1600.0,1.1954,1.0004,2.1958
1700.0,1.1927,1.0013,2.194
1800.0,1.1872,0.9999,2.1871
1900.0,1.1858,1.0006,2.1864
2000.0,1.1842,0.9999,2.1841
2100.0,1.1807,0.9993,2.18
2200.0,1.1792,1.0005,2.1797
2300.0,1.1763,1.0001,2.1764
2400.0,1.1766,0.9998,2.1764
2500.0,1.1774,1.0,2.1774
2600.0,1.1716,0.9991,2.1707
2700.0,1.1759,0.9992,2.1751
2800.0,1.1758,1.0,2.1757999999999997
2900.0,1.1688,1.0007,2.1695
3000.0,1.1729,0.9993,2.1722
3100.0,1.1687,0.9997,2.1684
3200.0,1.1716,1.0008,2.1723999999999997
3300.0,1.1699,1.0007,2.1706
3400.0,1.1716,0.9997,2.1713
3500.0,1.1697,0.9997,2.1694
3600.0,1.169,0.9998,2.1688
3700.0,1.167,1.0004,2.1673999999999998
3800.0,1.1693,0.9994,2.1687
3900.0,1.1695,0.9995,2.169
4000.0,1.1703,1.0009,2.1712
