step,mloss,gloss,loss
100.0,1.3553,1.4178,2.7731
200.0,1.2145,1.0,2.2145
300.0,1.1978,0.998,2.1958
400.0,1.1876,0.9829,2.1705
500.0,1.1927,0.9718,2.1645000000000003
600.0,1.1445,0.9316,2.0761000000000003
700.0,1.1449,0.9288,2.0737
800.0,1.1157,0.8844,2.0000999999999998
900.0,1.0783,0.8473,1.9256000000000002
1000.0,1.061,0.8232,1.8841999999999999
1100.0,1.055,0.8016,1.8565999999999998
1200.0,1.0232,0.7504,1.7736
1300.0,1.0076,0.7366,1.7442000000000002
1400.0,0.9988,0.7249,1.7237
1500.0,1.0047,0.7128,1.7174999999999998
1600.0,0.9952,0.6573,1.6524999999999999
1700.0,0.9899,0.6388,1.6287
1800.0,0.9805,0.6356,1.6161
1900.0,0.973,0.6279,1.6009
2000.0,0.9755,0.6307,1.6062
2100.0,0.9662,0.6231,1.5893
2200.0,0.9617,0.6237,1.5854
2300.0,0.9641,0.6249,1.589
2400.0,0.9695,0.6234,1.5929
2500.0,0.9632,0.6257,1.5889
2600.0,0.9593,0.6179,1.5772
2700.0,0.9587,0.6203,1.579
2800.0,0.9666,0.6172,1.5838
2900.0,0.9597,0.6135,1.5732
3000.0,0.9782,0.6248,1.603
3100.0,0.961,0.6126,1.5735999999999999
3200.0,0.9652,0.6109,1.5760999999999998
3300.0,0.97,0.6144,1.5844
3400.0,0.9551,0.6067,1.5617999999999999
3500.0,0.958,0.6113,1.5693
3600.0,0.9619,0.6067,1.5686
3700.0,0.9641,0.6068,1.5709
3800.0,0.9596,0.6114,1.5710000000000002
3900.0,0.9652,0.6094,1.5746
4000.0,0.9623,0.6136,1.5759
4100.0,0.9527,0.6005,1.5532
4200.0,0.9613,0.6113,1.5726
4300.0,0.953,0.6069,1.5598999999999998
4400.0,0.9574,0.6024,1.5598
4500.0,0.9601,0.6065,1.5666
4600.0,0.9539,0.6024,1.5563
4700.0,0.9471,0.5983,1.5454
4800.0,0.9505,0.599,1.5495
4900.0,0.9518,0.6036,1.5554000000000001
5000.0,0.952,0.6086,1.5606
5100.0,0.9522,0.5849,1.5371000000000001
5200.0,0.9424,0.5881,1.5305
5300.0,0.9551,0.593,1.5480999999999998
5400.0,0.9442,0.5985,1.5427
5500.0,0.9501,0.5816,1.5316999999999998
5600.0,0.9516,0.5826,1.5342
5700.0,0.9456,0.5654,1.5110000000000001
5800.0,0.9514,0.5739,1.5253
5900.0,0.9451,0.5636,1.5087000000000002
6000.0,0.9469,0.5685,1.5154
6100.0,0.9422,0.5536,1.4958
6200.0,0.9412,0.5468,1.488
6300.0,0.9411,0.5859,1.5270000000000001
6400.0,0.9369,0.5475,1.4844
6500.0,0.9329,0.5458,1.4787
6600.0,0.9304,0.5273,1.4577
6700.0,0.9371,0.5551,1.4922
6800.0,0.9394,0.554,1.4934
6900.0,0.9361,0.5328,1.4689
7000.0,0.9367,0.5578,1.4945
7100.0,0.9305,0.5208,1.4513
7200.0,0.9267,0.5284,1.4550999999999998
7300.0,0.9314,0.5358,1.4672
7400.0,0.9372,0.5195,1.4567
7500.0,0.9345,0.5334,1.4679
7600.0,0.9308,0.5188,1.4496
7700.0,0.9343,0.5281,1.4624000000000001
7800.0,0.9318,0.5202,1.452
7900.0,0.9291,0.5178,1.4469
8000.0,0.9323,0.5204,1.4527
8100.0,0.9266,0.505,1.4316
8200.0,0.9256,0.508,1.4336
8300.0,0.9251,0.5149,1.44
8400.0,0.927,0.5185,1.4455
8500.0,0.9301,0.5052,1.4353
8600.0,0.9211,0.5048,1.4259
8700.0,0.9192,0.4953,1.4145
8800.0,0.9218,0.4996,1.4214
8900.0,0.9266,0.4989,1.4255
9000.0,0.9232,0.4966,1.4198
9100.0,0.9274,0.5124,1.4398
9200.0,0.9262,0.4997,1.4259
9300.0,0.9196,0.4896,1.4092
9400.0,0.9182,0.4894,1.4076
9500.0,0.9229,0.4939,1.4168
9600.0,0.9154,0.482,1.3974
9700.0,0.922,0.4861,1.4081000000000001
9800.0,0.9207,0.4808,1.4015
9900.0,0.9214,0.485,1.4064
10000.0,0.9199,0.4783,1.3982
10100.0,0.919,0.4785,1.3975
10200.0,0.913,0.4714,1.3844
10300.0,0.9212,0.4747,1.3959000000000001
10400.0,0.9371,0.4955,1.4326
10500.0,0.9172,0.4739,1.3911
10600.0,0.9194,0.4763,1.3957
10700.0,0.9194,0.4692,1.3886
10800.0,0.9178,0.4594,1.3772
10900.0,0.927,0.4716,1.3986
11000.0,0.9226,0.466,1.3886
11100.0,0.923,0.4631,1.3861
11200.0,0.9268,0.4611,1.3879
11300.0,0.9233,0.4599,1.3832
11400.0,0.9195,0.4496,1.3691
11500.0,0.9245,0.4251,1.3496
11600.0,0.9174,0.4055,1.3229
11700.0,0.9195,0.3983,1.3178
11800.0,0.9233,0.3822,1.3054999999999999
11900.0,0.9173,0.3682,1.2855
12000.0,0.9227,0.3716,1.2943
12100.0,0.9175,0.3612,1.2787
12200.0,0.9197,0.358,1.2776999999999998
12300.0,0.9164,0.3428,1.2591999999999999
12400.0,0.9124,0.3426,1.255
12500.0,0.9168,0.3567,1.2734999999999999
12600.0,0.9163,0.3381,1.2544
12700.0,0.9145,0.3349,1.2494
12800.0,0.9203,0.3468,1.2671000000000001
12900.0,0.9173,0.3262,1.2435
13000.0,0.9134,0.324,1.2374
13100.0,0.917,0.3262,1.2432
13200.0,0.9155,0.3254,1.2409
13300.0,0.9153,0.3237,1.2389999999999999
13400.0,0.91,0.32,1.23
13500.0,0.9109,0.3149,1.2258
13600.0,0.9073,0.3162,1.2235
13700.0,0.9101,0.3155,1.2256
13800.0,0.9126,0.3213,1.2339
13900.0,0.9089,0.3123,1.2212
14000.0,0.9118,0.315,1.2268000000000001
14100.0,0.9111,0.323,1.2341
14200.0,0.9063,0.3089,1.2152
14300.0,0.9088,0.3103,1.2191
14400.0,0.9068,0.308,1.2148
14500.0,0.9087,0.3123,1.221
14600.0,0.9098,0.3129,1.2227000000000001
14700.0,0.9083,0.307,1.2153
14800.0,0.9081,0.3096,1.2177
14900.0,0.9064,0.3055,1.2119
15000.0,0.9078,0.3094,1.2172
15100.0,0.9084,0.3037,1.2121
15200.0,0.9044,0.3034,1.2078
15300.0,0.9053,0.3074,1.2127
15400.0,0.9066,0.3046,1.2111999999999998
15500.0,0.9037,0.306,1.2097
15600.0,0.9084,0.3033,1.2117
15700.0,0.9079,0.2985,1.2064
15800.0,0.9031,0.3088,1.2119
15900.0,0.9055,0.3058,1.2113
16000.0,0.9056,0.2995,1.2050999999999998
16100.0,0.9061,0.3046,1.2107
16200.0,0.9062,0.3007,1.2069
16300.0,0.9066,0.3009,1.2075
16400.0,0.9059,0.2994,1.2053
16500.0,0.9045,0.2987,1.2032
16600.0,0.9018,0.3005,1.2023000000000001
16700.0,0.8988,0.2977,1.1965000000000001
16800.0,0.9033,0.2975,1.2008
16900.0,0.9044,0.2955,1.1999
17000.0,0.9005,0.3013,1.2018
17100.0,0.8998,0.2973,1.1971
17200.0,0.9017,0.2998,1.2015
17300.0,0.8996,0.2954,1.1949999999999998
17400.0,0.8999,0.2942,1.1941000000000002
17500.0,0.8995,0.2936,1.1931
17600.0,0.9008,0.2963,1.1971
17700.0,0.9019,0.2947,1.1966
17800.0,0.8995,0.2927,1.1922
17900.0,0.9011,0.2949,1.196
18000.0,0.9007,0.2946,1.1953
18100.0,0.8972,0.2917,1.1889
18200.0,0.9017,0.2962,1.1979
18300.0,0.8975,0.295,1.1925
18400.0,0.9011,0.2929,1.194
18500.0,0.8937,0.2892,1.1829
18600.0,0.8991,0.2906,1.1897
18700.0,0.898,0.2897,1.1877
18800.0,0.9044,0.292,1.1964
18900.0,0.8978,0.2932,1.191
19000.0,0.8946,0.2882,1.1827999999999999
19100.0,0.8964,0.2898,1.1862
19200.0,0.901,0.2906,1.1916
19300.0,0.8986,0.2948,1.1934
19400.0,0.8943,0.2871,1.1814
19500.0,0.895,0.2859,1.1809
19600.0,0.8956,0.2911,1.1867
19700.0,0.8964,0.2883,1.1846999999999999
19800.0,0.892,0.2867,1.1787
19900.0,0.8936,0.2846,1.1782
20000.0,0.8973,0.2878,1.1851
20100.0,0.8977,0.2863,1.1840000000000002
20200.0,0.8929,0.2856,1.1785
20300.0,0.8988,0.2862,1.185
20400.0,0.8981,0.2917,1.1898
20500.0,0.8922,0.2847,1.1769
20600.0,0.895,0.2838,1.1788
20700.0,0.8943,0.2829,1.1772
20800.0,0.8933,0.2867,1.18
20900.0,0.8937,0.2839,1.1776
21000.0,0.8921,0.2814,1.1735
21100.0,0.8915,0.2861,1.1776
21200.0,0.8881,0.2833,1.1714
21300.0,0.893,0.2848,1.1778
21400.0,0.8921,0.2826,1.1747
21500.0,0.8923,0.2823,1.1745999999999999
21600.0,0.8911,0.2812,1.1723
21700.0,0.8895,0.2808,1.1703
21800.0,0.8924,0.2797,1.1721
21900.0,0.8932,0.2819,1.1751
22000.0,0.8903,0.2825,1.1728
