step,mloss,gloss,loss
100.0,2.268,1.1641,3.4320999999999997
200.0,1.8684,1.1257,2.9941
300.0,1.8303,1.1196,2.9499
400.0,1.6983,1.1612,2.8594999999999997
500.0,1.7043,1.1777,2.8819999999999997
600.0,1.6012,1.2173,2.8185000000000002
700.0,1.6013,1.2235,2.8247999999999998
800.0,1.529,1.2351,2.7641
900.0,1.5898,1.3555,2.9453
1000.0,1.6322,1.3203,2.9525
1100.0,1.6282,1.3001,2.9283
1200.0,1.5896,1.2013,2.7908999999999997
1300.0,1.5943,1.1821,2.7763999999999998
1400.0,1.6097,1.2072,2.8169
1500.0,1.6674,1.3175,2.9848999999999997
1600.0,1.7133,1.3035,3.0168
1700.0,1.6852,1.1269,2.8121
1800.0,1.676,1.1074,2.7834
1900.0,1.7297,1.1151,2.8448
2000.0,1.7091,1.1162,2.8253000000000004
2100.0,1.7328,1.1444,2.8772
2200.0,1.7269,1.1045,2.8314000000000004
2300.0,1.7453,1.0849,2.8302
2400.0,1.7739,1.0979,2.8718000000000004
2500.0,1.7886,1.101,2.8895999999999997
2600.0,1.8125,1.1198,2.9322999999999997
2700.0,1.8368,1.1249,2.9617
2800.0,1.892,1.1125,3.0045
2900.0,1.8512,1.1037,2.9549
3000.0,1.8669,1.0796,2.9465
3100.0,1.8879,1.0752,2.9631
3200.0,1.8825,1.0873,2.9698
3300.0,1.8139,1.1109,2.9248000000000003
3400.0,1.7925,1.0961,2.8886000000000003
3500.0,1.7781,1.0843,2.8624
3600.0,1.7303,1.0774,2.8076999999999996
3700.0,1.7319,1.0801,2.8120000000000003
3800.0,1.6715,1.0769,2.7484
3900.0,1.6658,1.1134,2.7792
4000.0,1.6901,1.0839,2.774
4100.0,1.6933,1.0424,2.7357
4200.0,1.6718,1.0397,2.7115
4300.0,1.6522,1.0752,2.7274
4400.0,1.6371,1.071,2.7081
4500.0,1.6311,1.0869,2.718
4600.0,1.6566,1.0596,2.7162
4700.0,1.6975,1.0352,2.7327
4800.0,1.7306,1.0571,2.7877
4900.0,1.7646,1.0844,2.849
5000.0,1.7449,1.054,2.7988999999999997
5100.0,1.7751,1.0744,2.8495
5200.0,1.7231,1.0712,2.7943
5300.0,1.6983,1.0644,2.7626999999999997
5400.0,1.7109,1.0641,2.7750000000000004
5500.0,1.7104,1.0547,2.7651
5600.0,1.7116,1.0302,2.7418
5700.0,1.7302,1.0324,2.7626
5800.0,1.7254,1.0605,2.7859
5900.0,1.7387,1.0562,2.7949
6000.0,1.7382,1.0821,2.8203
6100.0,1.7217,1.0639,2.7856
6200.0,1.6947,1.0407,2.7354000000000003
6300.0,1.7866,1.0613,2.8479
6400.0,1.7663,1.0787,2.8449999999999998
6500.0,1.7979,1.0896,2.8875
6600.0,1.7852,1.0653,2.8505
