step,mloss,gloss,loss
10.0,0.0,0.9959,0.9959
20.0,0.0,0.9967,0.9967
30.0,0.0,0.9912,0.9912
40.0,0.0,0.9692,0.9692
50.0,0.0,0.8722,0.8722
60.0,0.0,0.7707,0.7707
70.0,0.0,0.6467,0.6467
80.0,0.0,0.5807,0.5807
90.0,0.0,0.5282,0.5282
100.0,0.0,0.5174,0.5174
110.0,0.0,0.5012,0.5012
120.0,0.0,0.4836,0.4836
130.0,0.0,0.4818,0.4818
140.0,0.0,0.474,0.474
150.0,0.0,0.4768,0.4768
160.0,0.0,0.4665,0.4665
170.0,0.0,0.4588,0.4588
180.0,0.0,0.461,0.461
190.0,0.0,0.4575,0.4575
200.0,0.0,0.4549,0.4549
210.0,0.0,0.4576,0.4576
220.0,0.0,0.4637,0.4637
230.0,0.0,0.4535,0.4535
240.0,0.0,0.4492,0.4492
250.0,0.0,0.45,0.45
260.0,0.0,0.451,0.451
270.0,0.0,0.4556,0.4556
280.0,0.0,0.4576,0.4576
290.0,0.0,0.4565,0.4565
300.0,0.0,0.4582,0.4582
310.0,0.0,0.4538,0.4538
320.0,0.0,0.4515,0.4515
330.0,0.0,0.4496,0.4496
340.0,0.0,0.4488,0.4488
350.0,0.0,0.4507,0.4507
360.0,0.0,0.4536,0.4536
370.0,0.0,0.4519,0.4519
380.0,0.0,0.4508,0.4508
390.0,0.0,0.4432,0.4432
400.0,0.0,0.4542,0.4542
410.0,0.0,0.4541,0.4541
420.0,0.0,0.4462,0.4462
430.0,0.0,0.4526,0.4526
440.0,0.0,0.4493,0.4493
450.0,0.0,0.4498,0.4498
460.0,0.0,0.4515,0.4515
470.0,0.0,0.4508,0.4508
480.0,0.0,0.4433,0.4433
490.0,0.0,0.4478,0.4478
500.0,0.0,0.4448,0.4448
510.0,0.0,0.4481,0.4481
520.0,0.0,0.4501,0.4501
530.0,0.0,0.4554,0.4554
540.0,0.0,0.4491,0.4491
550.0,0.0,0.4524,0.4524
560.0,0.0,0.4491,0.4491
570.0,0.0,0.4547,0.4547
580.0,0.0,0.4536,0.4536
590.0,0.0,0.4467,0.4467
600.0,0.0,0.4528,0.4528
610.0,0.0,0.4553,0.4553
620.0,0.0,0.4505,0.4505
630.0,0.0,0.4486,0.4486
640.0,0.0,0.4491,0.4491
650.0,0.0,0.4516,0.4516
660.0,0.0,0.4483,0.4483
670.0,0.0,0.4505,0.4505
680.0,0.0,0.4524,0.4524
690.0,0.0,0.4455,0.4455
700.0,0.0,0.4501,0.4501
710.0,0.0,0.4508,0.4508
720.0,0.0,0.446,0.446
730.0,0.0,0.4525,0.4525
740.0,0.0,0.4503,0.4503
750.0,0.0,0.4508,0.4508
760.0,0.0,0.45,0.45
770.0,0.0,0.45,0.45
780.0,0.0,0.455,0.455
790.0,0.0,0.4562,0.4562
800.0,0.0,0.4485,0.4485
810.0,0.0,0.4483,0.4483
820.0,0.0,0.4472,0.4472
830.0,0.0,0.4454,0.4454
840.0,0.0,0.4493,0.4493
850.0,0.0,0.4486,0.4486
860.0,0.0,0.4475,0.4475
870.0,0.0,0.451,0.451
880.0,0.0,0.4505,0.4505
890.0,0.0,0.4457,0.4457
900.0,0.0,0.4482,0.4482
910.0,0.0,0.4433,0.4433
920.0,0.0,0.4482,0.4482
930.0,0.0,0.4546,0.4546
940.0,0.0,0.4516,0.4516
950.0,0.0,0.4569,0.4569
960.0,0.0,0.4532,0.4532
970.0,0.0,0.4507,0.4507
980.0,0.0,0.4541,0.4541
990.0,0.0,0.4443,0.4443
1000.0,0.0,0.4487,0.4487
