step,mloss,gloss,loss
100.0,0.0,0.5478,0.5478
200.0,0.0,0.4413,0.4413
300.0,0.0,0.4351,0.4351
400.0,0.0,0.4313,0.4313
500.0,0.0,0.4285,0.4285
600.0,0.0,0.4286,0.4286
700.0,0.0,0.4249,0.4249
800.0,0.0,0.4221,0.4221
900.0,0.0,0.4225,0.4225
1000.0,0.0,0.4212,0.4212
1100.0,0.0,0.4193,0.4193
1200.0,0.0,0.419,0.419
1300.0,0.0,0.4181,0.4181
1400.0,0.0,0.4185,0.4185
1500.0,0.0,0.4182,0.4182
1600.0,0.0,0.4169,0.4169
1700.0,0.0,0.416,0.416
1800.0,0.0,0.4153,0.4153
1900.0,0.0,0.4148,0.4148
2000.0,0.0,0.4146,0.4146
2100.0,0.0,0.4144,0.4144
2200.0,0.0,0.4134,0.4134
2300.0,0.0,0.4134,0.4134
2400.0,0.0,0.4128,0.4128
2500.0,0.0,0.4132,0.4132
2600.0,0.0,0.4121,0.4121
2700.0,0.0,0.4128,0.4128
2800.0,0.0,0.4128,0.4128
2900.0,0.0,0.4127,0.4127
3000.0,0.0,0.4124,0.4124
3100.0,0.0,0.4119,0.4119
3200.0,0.0,0.4105,0.4105
3300.0,0.0,0.4114,0.4114
3400.0,0.0,0.4104,0.4104
3500.0,0.0,0.4093,0.4093
3600.0,0.0,0.4102,0.4102
3700.0,0.0,0.41,0.41
3800.0,0.0,0.4109,0.4109
3900.0,0.0,0.4109,0.4109
4000.0,0.0,0.4093,0.4093
4100.0,0.0,0.4091,0.4091
4200.0,0.0,0.4095,0.4095
4300.0,0.0,0.4082,0.4082
4400.0,0.0,0.4087,0.4087
4500.0,0.0,0.4078,0.4078
4600.0,0.0,0.4083,0.4083
4700.0,0.0,0.4088,0.4088
4800.0,0.0,0.4089,0.4089
4900.0,0.0,0.4083,0.4083
5000.0,0.0,0.4083,0.4083
5100.0,0.0,0.4085,0.4085
5200.0,0.0,0.4083,0.4083
5300.0,0.0,0.4078,0.4078
5400.0,0.0,0.4072,0.4072
5500.0,0.0,0.4064,0.4064
5600.0,0.0,0.4072,0.4072
5700.0,0.0,0.4072,0.4072
5800.0,0.0,0.4066,0.4066
5900.0,0.0,0.407,0.407
6000.0,0.0,0.4076,0.4076
6100.0,0.0,0.4065,0.4065
6200.0,0.0,0.4069,0.4069
6300.0,0.0,0.407,0.407
6400.0,0.0,0.4065,0.4065
6500.0,0.0,0.4045,0.4045
6600.0,0.0,0.4064,0.4064
6700.0,0.0,0.4046,0.4046
6800.0,0.0,0.4057,0.4057
6900.0,0.0,0.4049,0.4049
7000.0,0.0,0.4046,0.4046
7100.0,0.0,0.4056,0.4056
7200.0,0.0,0.4035,0.4035
7300.0,0.0,0.4044,0.4044
7400.0,0.0,0.4025,0.4025
7500.0,0.0,0.4053,0.4053
7600.0,0.0,0.4039,0.4039
7700.0,0.0,0.4038,0.4038
7800.0,0.0,0.4033,0.4033
7900.0,0.0,0.4029,0.4029
8000.0,0.0,0.4042,0.4042
8100.0,0.0,0.4042,0.4042
8200.0,0.0,0.4048,0.4048
8300.0,0.0,0.4034,0.4034
8400.0,0.0,0.4029,0.4029
8500.0,0.0,0.4028,0.4028
8600.0,0.0,0.404,0.404
8700.0,0.0,0.4021,0.4021
8800.0,0.0,0.4024,0.4024
8900.0,0.0,0.4021,0.4021
9000.0,0.0,0.4017,0.4017
9100.0,0.0,0.4037,0.4037
9200.0,0.0,0.4023,0.4023
9300.0,0.0,0.4029,0.4029
9400.0,0.0,0.4015,0.4015
9500.0,0.0,0.4017,0.4017
9600.0,0.0,0.4013,0.4013
9700.0,0.0,0.4013,0.4013
9800.0,0.0,0.4008,0.4008
9900.0,0.0,0.4013,0.4013
10000.0,0.0,0.4017,0.4017
10100.0,0.0,0.4011,0.4011
10200.0,0.0,0.4021,0.4021
10300.0,0.0,0.4008,0.4008
10400.0,0.0,0.4011,0.4011
10500.0,0.0,0.4001,0.4001
10600.0,0.0,0.3999,0.3999
10700.0,0.0,0.3998,0.3998
10800.0,0.0,0.4008,0.4008
10900.0,0.0,0.3999,0.3999
11000.0,0.0,0.4008,0.4008
11100.0,0.0,0.3997,0.3997
11200.0,0.0,0.4025,0.4025
11300.0,0.0,0.4007,0.4007
11400.0,0.0,0.3996,0.3996
11500.0,0.0,0.4002,0.4002
11600.0,0.0,0.3999,0.3999
11700.0,0.0,0.4002,0.4002
11800.0,0.0,0.3998,0.3998
11900.0,0.0,0.4002,0.4002
12000.0,0.0,0.3976,0.3976
12100.0,0.0,0.3991,0.3991
12200.0,0.0,0.3997,0.3997
12300.0,0.0,0.3996,0.3996
12400.0,0.0,0.4005,0.4005
12500.0,0.0,0.3984,0.3984
12600.0,0.0,0.3991,0.3991
12700.0,0.0,0.3991,0.3991
12800.0,0.0,0.3994,0.3994
12900.0,0.0,0.3981,0.3981
13000.0,0.0,0.3991,0.3991
13100.0,0.0,0.3995,0.3995
13200.0,0.0,0.3991,0.3991
13300.0,0.0,0.3989,0.3989
13400.0,0.0,0.3986,0.3986
13500.0,0.0,0.3991,0.3991
13600.0,0.0,0.398,0.398
13700.0,0.0,0.3977,0.3977
13800.0,0.0,0.3978,0.3978
13900.0,0.0,0.3988,0.3988
14000.0,0.0,0.3973,0.3973
14100.0,0.0,0.3976,0.3976
14200.0,0.0,0.397,0.397
14300.0,0.0,0.3968,0.3968
14400.0,0.0,0.3979,0.3979
14500.0,0.0,0.3983,0.3983
14600.0,0.0,0.3981,0.3981
14700.0,0.0,0.3977,0.3977
14800.0,0.0,0.3969,0.3969
14900.0,0.0,0.3968,0.3968
15000.0,0.0,0.3971,0.3971
15100.0,0.0,0.3971,0.3971
15200.0,0.0,0.3961,0.3961
15300.0,0.0,0.3974,0.3974
15400.0,0.0,0.3944,0.3944
15500.0,0.0,0.3967,0.3967
15600.0,0.0,0.3966,0.3966
15700.0,0.0,0.396,0.396
15800.0,0.0,0.3968,0.3968
15900.0,0.0,0.3946,0.3946
16000.0,0.0,0.3962,0.3962
16100.0,0.0,0.3961,0.3961
16200.0,0.0,0.395,0.395
16300.0,0.0,0.3947,0.3947
16400.0,0.0,0.3947,0.3947
16500.0,0.0,0.3964,0.3964
16600.0,0.0,0.3959,0.3959
16700.0,0.0,0.3958,0.3958
16800.0,0.0,0.3943,0.3943
16900.0,0.0,0.3957,0.3957
17000.0,0.0,0.395,0.395
17100.0,0.0,0.396,0.396
