step,mloss,gloss,loss
100.0,0.0,0.9835,0.9835
200.0,0.0,0.9169,0.9169
300.0,0.0,0.8683,0.8683
400.0,0.0,0.8322,0.8322
500.0,0.0,0.8015,0.8015
600.0,0.0,0.7967,0.7967
700.0,0.0,0.7918,0.7918
800.0,0.0,0.7902,0.7902
900.0,0.0,0.7814,0.7814
1000.0,0.0,0.7585,0.7585
1100.0,0.0,0.7584,0.7584
1200.0,0.0,0.758,0.758
1300.0,0.0,0.7313,0.7313
1400.0,0.0,0.7451,0.7451
1500.0,0.0,0.7198,0.7198
1600.0,0.0,0.7385,0.7385
1700.0,0.0,0.7322,0.7322
1800.0,0.0,0.7275,0.7275
1900.0,0.0,0.7161,0.7161
2000.0,0.0,0.7095,0.7095
2100.0,0.0,0.7169,0.7169
2200.0,0.0,0.7134,0.7134
2300.0,0.0,0.7068,0.7068
2400.0,0.0,0.6851,0.6851
2500.0,0.0,0.6911,0.6911
2600.0,0.0,0.6672,0.6672
2700.0,0.0,0.6845,0.6845
2800.0,0.0,0.6634,0.6634
2900.0,0.0,0.6651,0.6651
3000.0,0.0,0.6706,0.6706
