step,mloss,gloss,loss
100.0,0.0,0.6399,0.6399
200.0,0.0,0.4736,0.4736
300.0,0.0,0.4482,0.4482
400.0,0.0,0.4206,0.4206
500.0,0.0,0.3988,0.3988
600.0,0.0,0.3905,0.3905
700.0,0.0,0.3834,0.3834
800.0,0.0,0.3771,0.3771
900.0,0.0,0.3673,0.3673
1000.0,0.0,0.3587,0.3587
1100.0,0.0,0.3536,0.3536
1200.0,0.0,0.3508,0.3508
1300.0,0.0,0.3479,0.3479
1400.0,0.0,0.3458,0.3458
1500.0,0.0,0.3436,0.3436
1600.0,0.0,0.3419,0.3419
1700.0,0.0,0.3405,0.3405
1800.0,0.0,0.3391,0.3391
1900.0,0.0,0.338,0.338
2000.0,0.0,0.3367,0.3367
2100.0,0.0,0.335,0.335
2200.0,0.0,0.335,0.335
2300.0,0.0,0.3335,0.3335
2400.0,0.0,0.3329,0.3329
2500.0,0.0,0.3327,0.3327
2600.0,0.0,0.3318,0.3318
2700.0,0.0,0.3321,0.3321
2800.0,0.0,0.3313,0.3313
2900.0,0.0,0.3307,0.3307
3000.0,0.0,0.3297,0.3297
3100.0,0.0,0.3307,0.3307
3200.0,0.0,0.3289,0.3289
3300.0,0.0,0.3286,0.3286
3400.0,0.0,0.3292,0.3292
3500.0,0.0,0.3265,0.3265
3600.0,0.0,0.3279,0.3279
3700.0,0.0,0.3269,0.3269
3800.0,0.0,0.3264,0.3264
3900.0,0.0,0.3266,0.3266
4000.0,0.0,0.3258,0.3258
4100.0,0.0,0.326,0.326
4200.0,0.0,0.3255,0.3255
4300.0,0.0,0.3252,0.3252
4400.0,0.0,0.3244,0.3244
4500.0,0.0,0.3242,0.3242
4600.0,0.0,0.3236,0.3236
4700.0,0.0,0.3245,0.3245
4800.0,0.0,0.3234,0.3234
4900.0,0.0,0.3229,0.3229
5000.0,0.0,0.3235,0.3235
5100.0,0.0,0.3231,0.3231
5200.0,0.0,0.3231,0.3231
5300.0,0.0,0.3231,0.3231
5400.0,0.0,0.3219,0.3219
5500.0,0.0,0.321,0.321
5600.0,0.0,0.3209,0.3209
5700.0,0.0,0.3215,0.3215
5800.0,0.0,0.3205,0.3205
5900.0,0.0,0.3206,0.3206
6000.0,0.0,0.3203,0.3203
6100.0,0.0,0.3203,0.3203
6200.0,0.0,0.3195,0.3195
6300.0,0.0,0.3197,0.3197
6400.0,0.0,0.3192,0.3192
6500.0,0.0,0.3183,0.3183
6600.0,0.0,0.3191,0.3191
6700.0,0.0,0.3178,0.3178
6800.0,0.0,0.3185,0.3185
6900.0,0.0,0.3183,0.3183
7000.0,0.0,0.318,0.318
7100.0,0.0,0.3181,0.3181
7200.0,0.0,0.3176,0.3176
7300.0,0.0,0.3174,0.3174
7400.0,0.0,0.3173,0.3173
7500.0,0.0,0.3174,0.3174
7600.0,0.0,0.3167,0.3167
7700.0,0.0,0.3158,0.3158
7800.0,0.0,0.316,0.316
7900.0,0.0,0.3155,0.3155
8000.0,0.0,0.3168,0.3168
8100.0,0.0,0.3165,0.3165
8200.0,0.0,0.3156,0.3156
8300.0,0.0,0.3152,0.3152
8400.0,0.0,0.3161,0.3161
8500.0,0.0,0.3149,0.3149
8600.0,0.0,0.3144,0.3144
8700.0,0.0,0.3146,0.3146
8800.0,0.0,0.314,0.314
8900.0,0.0,0.3134,0.3134
9000.0,0.0,0.3135,0.3135
9100.0,0.0,0.3147,0.3147
9200.0,0.0,0.3132,0.3132
9300.0,0.0,0.3134,0.3134
9400.0,0.0,0.313,0.313
9500.0,0.0,0.3132,0.3132
9600.0,0.0,0.3119,0.3119
9700.0,0.0,0.3128,0.3128
9800.0,0.0,0.3121,0.3121
9900.0,0.0,0.3122,0.3122
10000.0,0.0,0.3111,0.3111
10100.0,0.0,0.3114,0.3114
10200.0,0.0,0.3124,0.3124
10300.0,0.0,0.311,0.311
10400.0,0.0,0.3109,0.3109
10500.0,0.0,0.3102,0.3102
10600.0,0.0,0.3103,0.3103
10700.0,0.0,0.3093,0.3093
10800.0,0.0,0.3103,0.3103
10900.0,0.0,0.31,0.31
11000.0,0.0,0.3096,0.3096
11100.0,0.0,0.3095,0.3095
11200.0,0.0,0.3103,0.3103
11300.0,0.0,0.3092,0.3092
11400.0,0.0,0.3085,0.3085
11500.0,0.0,0.3089,0.3089
11600.0,0.0,0.3086,0.3086
11700.0,0.0,0.3091,0.3091
11800.0,0.0,0.3084,0.3084
11900.0,0.0,0.3082,0.3082
12000.0,0.0,0.3077,0.3077
12100.0,0.0,0.3079,0.3079
12200.0,0.0,0.3079,0.3079
12300.0,0.0,0.3077,0.3077
12400.0,0.0,0.3067,0.3067
12500.0,0.0,0.3072,0.3072
12600.0,0.0,0.3068,0.3068
12700.0,0.0,0.307,0.307
12800.0,0.0,0.3076,0.3076
12900.0,0.0,0.3073,0.3073
13000.0,0.0,0.3061,0.3061
13100.0,0.0,0.3068,0.3068
13200.0,0.0,0.3057,0.3057
13300.0,0.0,0.3053,0.3053
13400.0,0.0,0.3062,0.3062
