step,mloss,gloss,loss
10.0,0.0,0.8387,0.8387
20.0,0.0,0.6695,0.6695
30.0,0.0,0.5961,0.5961
40.0,0.0,0.5662,0.5662
50.0,0.0,0.5441,0.5441
60.0,0.0,0.5229,0.5229
70.0,0.0,0.5182,0.5182
80.0,0.0,0.5115,0.5115
90.0,0.0,0.5073,0.5073
100.0,0.0,0.4988,0.4988
110.0,0.0,0.4963,0.4963
120.0,0.0,0.4922,0.4922
130.0,0.0,0.4925,0.4925
140.0,0.0,0.483,0.483
150.0,0.0,0.4864,0.4864
160.0,0.0,0.4831,0.4831
170.0,0.0,0.4851,0.4851
180.0,0.0,0.4808,0.4808
190.0,0.0,0.4785,0.4785
200.0,0.0,0.4766,0.4766
210.0,0.0,0.4706,0.4706
220.0,0.0,0.4767,0.4767
230.0,0.0,0.4695,0.4695
240.0,0.0,0.4751,0.4751
250.0,0.0,0.4753,0.4753
260.0,0.0,0.4709,0.4709
270.0,0.0,0.4725,0.4725
280.0,0.0,0.4658,0.4658
290.0,0.0,0.4716,0.4716
300.0,0.0,0.4668,0.4668
