step,mloss,gloss,loss
100.0,0.474,1.0071,1.4811
200.0,0.4345,0.9966,1.4311
300.0,0.4043,0.9786,1.3829
400.0,0.4019,0.9665,1.3684
500.0,0.3962,0.9513,1.3475000000000001
600.0,0.3872,0.9272,1.3144
700.0,0.3897,0.8947,1.2844
800.0,0.3859,0.8503,1.2362
900.0,0.3851,0.7991,1.1842000000000001
1000.0,0.3815,0.7739,1.1554
1100.0,0.3818,0.7135,1.0953
1200.0,0.3817,0.6642,1.0459
1300.0,0.3839,0.6229,1.0068000000000001
1400.0,0.3768,0.5921,0.9689
1500.0,0.3732,0.5721,0.9453
1600.0,0.3781,0.558,0.9361
1700.0,0.3756,0.5353,0.9109
1800.0,0.3721,0.5193,0.8914
1900.0,0.3685,0.5126,0.8811
2000.0,0.3691,0.5035,0.8725999999999999
2100.0,0.3638,0.4964,0.8602000000000001
2200.0,0.3668,0.4933,0.8601000000000001
2300.0,0.3586,0.4845,0.8431
2400.0,0.3583,0.4802,0.8385
2500.0,0.3545,0.4752,0.8297
2600.0,0.3624,0.4609,0.8232999999999999
2700.0,0.3547,0.4549,0.8096000000000001
2800.0,0.3537,0.449,0.8027
2900.0,0.3557,0.4443,0.8
3000.0,0.3533,0.4394,0.7927
3100.0,0.3565,0.4415,0.798
3200.0,0.3482,0.4292,0.7774000000000001
3300.0,0.3466,0.4243,0.7709
3400.0,0.3512,0.4185,0.7697
3500.0,0.3477,0.4169,0.7646
3600.0,0.3488,0.4129,0.7617
3700.0,0.3544,0.3999,0.7543
3800.0,0.3453,0.3882,0.7335
3900.0,0.3454,0.3704,0.7158
4000.0,0.3418,0.3687,0.7105
4100.0,0.3451,0.3691,0.7142
4200.0,0.3444,0.3679,0.7122999999999999
4300.0,0.3435,0.3611,0.7046
4400.0,0.3424,0.3614,0.7038
4500.0,0.3428,0.363,0.7058
4600.0,0.3373,0.3572,0.6945
4700.0,0.3395,0.3591,0.6986
4800.0,0.3344,0.3518,0.6861999999999999
4900.0,0.338,0.3563,0.6943
5000.0,0.336,0.3568,0.6928000000000001
5100.0,0.3356,0.3501,0.6857
5200.0,0.3353,0.353,0.6882999999999999
5300.0,0.3327,0.3518,0.6845
5400.0,0.3333,0.3559,0.6892
5500.0,0.3279,0.3492,0.6771
5600.0,0.3338,0.3507,0.6845
5700.0,0.3288,0.3505,0.6793
5800.0,0.3281,0.3492,0.6773
5900.0,0.3316,0.3483,0.6799
6000.0,0.3317,0.3492,0.6809000000000001
6100.0,0.3278,0.3496,0.6774
6200.0,0.3285,0.3448,0.6733
6300.0,0.3263,0.3453,0.6716
6400.0,0.326,0.3448,0.6708000000000001
6500.0,0.3241,0.3465,0.6706
6600.0,0.3253,0.3493,0.6746
6700.0,0.3176,0.3443,0.6618999999999999
6800.0,0.3183,0.3422,0.6605000000000001
6900.0,0.3293,0.3526,0.6819
7000.0,0.3315,0.3507,0.6822
7100.0,0.3231,0.3465,0.6696
7200.0,0.3215,0.3449,0.6664
7300.0,0.321,0.345,0.6659999999999999
7400.0,0.3191,0.3456,0.6647000000000001
7500.0,0.3175,0.3425,0.66
7600.0,0.314,0.3435,0.6575
7700.0,0.3134,0.3404,0.6537999999999999
7800.0,0.318,0.3438,0.6617999999999999
7900.0,0.3161,0.3422,0.6583
8000.0,0.3187,0.3428,0.6615
8100.0,0.3172,0.3424,0.6596
8200.0,0.3186,0.342,0.6606000000000001
8300.0,0.3164,0.3392,0.6556
8400.0,0.3157,0.3426,0.6583
8500.0,0.3147,0.3404,0.6551
8600.0,0.3145,0.3426,0.6571
8700.0,0.3158,0.3429,0.6587000000000001
8800.0,0.3164,0.3486,0.665
8900.0,0.3166,0.3418,0.6584
9000.0,0.314,0.3399,0.6538999999999999
9100.0,0.311,0.3421,0.6531
9200.0,0.3104,0.3385,0.6489
9300.0,0.3136,0.3406,0.6542
9400.0,0.3128,0.3395,0.6523000000000001
9500.0,0.3074,0.3385,0.6459
9600.0,0.3034,0.3376,0.641
9700.0,0.3105,0.3411,0.6516
9800.0,0.3086,0.3385,0.6471
9900.0,0.3106,0.3382,0.6488
10000.0,0.3056,0.3383,0.6438999999999999
10100.0,0.3117,0.3415,0.6532
10200.0,0.3094,0.3373,0.6467
10300.0,0.3097,0.3382,0.6478999999999999
10400.0,0.3035,0.3381,0.6416
10500.0,0.308,0.3366,0.6446000000000001
10600.0,0.303,0.3358,0.6388
10700.0,0.3058,0.3365,0.6423000000000001
10800.0,0.3011,0.3355,0.6366
10900.0,0.3032,0.3343,0.6375
11000.0,0.2992,0.3341,0.6333
11100.0,0.3049,0.3379,0.6428
11200.0,0.3032,0.3366,0.6398
11300.0,0.3008,0.3366,0.6374
11400.0,0.303,0.3361,0.6391
11500.0,0.2976,0.3354,0.633
11600.0,0.2988,0.3342,0.633
11700.0,0.2978,0.3342,0.632
11800.0,0.2996,0.3337,0.6333
11900.0,0.3051,0.3371,0.6422
12000.0,0.3017,0.3357,0.6374
12100.0,0.3018,0.338,0.6398
12200.0,0.2979,0.334,0.6319
12300.0,0.2975,0.334,0.6315
12400.0,0.2922,0.3312,0.6234
12500.0,0.2938,0.3357,0.6295
12600.0,0.2947,0.3352,0.6299
12700.0,0.296,0.3327,0.6287
12800.0,0.2973,0.3341,0.6314
12900.0,0.2938,0.3357,0.6295
13000.0,0.2941,0.3318,0.6258999999999999
13100.0,0.2959,0.3332,0.6291
