step,mloss,gloss,loss
10.0,0.7962,1.1451,1.9413
20.0,0.5048,1.0037,1.5085000000000002
30.0,0.4649,1.0129,1.4777999999999998
40.0,0.4741,1.0029,1.4769999999999999
50.0,0.4736,1.0116,1.4852
60.0,0.4567,1.0039,1.4606
70.0,0.457,1.0248,1.4818
80.0,0.4573,1.0123,1.4696
90.0,0.4572,1.0182,1.4754
100.0,0.4778,1.0175,1.4953
110.0,0.4604,1.0063,1.4667
120.0,0.4753,1.0192,1.4945000000000002
130.0,0.4712,1.0169,1.4881
140.0,0.4722,1.0108,1.4829999999999999
150.0,0.4747,1.0037,1.4784000000000002
160.0,0.4596,1.0142,1.4738
170.0,0.4606,1.0019,1.4625
180.0,0.4414,1.0211,1.4625
190.0,0.4655,1.0029,1.4684
200.0,0.4623,1.009,1.4712999999999998
210.0,0.4772,1.0108,1.488
220.0,0.4761,0.9938,1.4699
230.0,0.4587,1.0226,1.4813
240.0,0.469,1.0077,1.4767000000000001
250.0,0.4642,1.0044,1.4686
260.0,0.4585,0.9907,1.4492
270.0,0.426,0.9882,1.4142
280.0,0.4646,1.004,1.4686
290.0,0.4572,0.9935,1.4507
300.0,0.4316,0.9935,1.4251
310.0,0.4224,0.989,1.4114
320.0,0.4519,0.9932,1.4451
330.0,0.4331,0.9932,1.4263
340.0,0.4303,0.99,1.4203000000000001
350.0,0.4658,0.9927,1.4585
360.0,0.4481,0.9943,1.4424
370.0,0.4525,0.996,1.4485000000000001
380.0,0.4336,0.9841,1.4177
390.0,0.4492,0.9968,1.446
400.0,0.4315,0.9831,1.4146
