step,mloss,gloss,loss
10.0,0.0,0.9334,0.9334
20.0,0.0,0.7067,0.7067
30.0,0.0,0.5537,0.5537
40.0,0.0,0.5168,0.5168
50.0,0.0,0.4773,0.4773
60.0,0.0,0.4503,0.4503
70.0,0.0,0.4323,0.4323
80.0,0.0,0.4519,0.4519
90.0,0.0,0.4288,0.4288
100.0,0.0,0.4388,0.4388
110.0,0.0,0.4364,0.4364
120.0,0.0,0.4381,0.4381
130.0,0.0,0.4147,0.4147
140.0,0.0,0.4368,0.4368
150.0,0.0,0.4256,0.4256
160.0,0.0,0.4248,0.4248
170.0,0.0,0.4332,0.4332
180.0,0.0,0.4254,0.4254
190.0,0.0,0.4323,0.4323
200.0,0.0,0.4283,0.4283
210.0,0.0,0.4247,0.4247
220.0,0.0,0.422,0.422
230.0,0.0,0.4185,0.4185
240.0,0.0,0.4096,0.4096
250.0,0.0,0.4247,0.4247
260.0,0.0,0.4087,0.4087
270.0,0.0,0.4241,0.4241
280.0,0.0,0.4169,0.4169
290.0,0.0,0.4193,0.4193
300.0,0.0,0.4185,0.4185
310.0,0.0,0.4062,0.4062
320.0,0.0,0.4167,0.4167
330.0,0.0,0.3984,0.3984
340.0,0.0,0.398,0.398
350.0,0.0,0.4113,0.4113
360.0,0.0,0.4012,0.4012
370.0,0.0,0.422,0.422
380.0,0.0,0.421,0.421
390.0,0.0,0.3962,0.3962
400.0,0.0,0.4262,0.4262
