step,mloss,gloss,loss
10.0,0.0,0.9776,0.9776
20.0,0.0,0.9923,0.9923
30.0,0.0,1.0324,1.0324
40.0,0.0,0.7861,0.7861
50.0,0.0,0.584,0.584
60.0,0.0,0.5624,0.5624
70.0,0.0,0.5306,0.5306
80.0,0.0,0.5239,0.5239
90.0,0.0,0.4849,0.4849
100.0,0.0,0.4926,0.4926
110.0,0.0,0.4552,0.4552
120.0,0.0,0.4474,0.4474
130.0,0.0,0.4587,0.4587
140.0,0.0,0.4323,0.4323
150.0,0.0,0.4381,0.4381
160.0,0.0,0.4551,0.4551
170.0,0.0,0.4558,0.4558
180.0,0.0,0.4255,0.4255
190.0,0.0,0.4435,0.4435
200.0,0.0,0.4304,0.4304
210.0,0.0,0.4464,0.4464
220.0,0.0,0.4377,0.4377
230.0,0.0,0.4362,0.4362
240.0,0.0,0.4434,0.4434
250.0,0.0,0.4499,0.4499
260.0,0.0,0.4345,0.4345
270.0,0.0,0.4254,0.4254
280.0,0.0,0.4345,0.4345
290.0,0.0,0.4345,0.4345
300.0,0.0,0.4346,0.4346
