step,mloss,gloss,loss
10.0,0.0,0.9776,0.9776
20.0,0.0,0.9934,0.9934
30.0,0.0,0.9343,0.9343
40.0,0.0,0.6925,0.6925
50.0,0.0,0.5587,0.5587
60.0,0.0,0.5537,0.5537
70.0,0.0,0.5276,0.5276
80.0,0.0,0.5275,0.5275
90.0,0.0,0.485,0.485
100.0,0.0,0.492,0.492
110.0,0.0,0.4608,0.4608
120.0,0.0,0.4502,0.4502
130.0,0.0,0.4609,0.4609
140.0,0.0,0.4353,0.4353
150.0,0.0,0.4381,0.4381
160.0,0.0,0.4518,0.4518
170.0,0.0,0.4569,0.4569
180.0,0.0,0.426,0.426
190.0,0.0,0.439,0.439
200.0,0.0,0.4308,0.4308
210.0,0.0,0.4502,0.4502
220.0,0.0,0.4401,0.4401
230.0,0.0,0.4359,0.4359
240.0,0.0,0.4449,0.4449
250.0,0.0,0.45,0.45
260.0,0.0,0.4359,0.4359
270.0,0.0,0.4274,0.4274
280.0,0.0,0.4348,0.4348
290.0,0.0,0.4343,0.4343
300.0,0.0,0.4358,0.4358
