step,mloss,gloss,loss
100.0,0.0,0.6651,0.6651
200.0,0.0,0.4408,0.4408
300.0,0.0,0.4162,0.4162
400.0,0.0,0.4139,0.4139
500.0,0.0,0.4112,0.4112
600.0,0.0,0.4115,0.4115
700.0,0.0,0.4103,0.4103
800.0,0.0,0.4076,0.4076
900.0,0.0,0.4083,0.4083
1000.0,0.0,0.4072,0.4072
1100.0,0.0,0.4062,0.4062
1200.0,0.0,0.4069,0.4069
1300.0,0.0,0.4053,0.4053
1400.0,0.0,0.4064,0.4064
1500.0,0.0,0.4069,0.4069
1600.0,0.0,0.4063,0.4063
1700.0,0.0,0.4057,0.4057
1800.0,0.0,0.4048,0.4048
1900.0,0.0,0.4055,0.4055
2000.0,0.0,0.4051,0.4051
2100.0,0.0,0.4052,0.4052
2200.0,0.0,0.4047,0.4047
2300.0,0.0,0.4031,0.4031
2400.0,0.0,0.4032,0.4032
2500.0,0.0,0.4043,0.4043
2600.0,0.0,0.4026,0.4026
2700.0,0.0,0.4038,0.4038
2800.0,0.0,0.4041,0.4041
2900.0,0.0,0.4043,0.4043
3000.0,0.0,0.4042,0.4042
3100.0,0.0,0.4051,0.4051
3200.0,0.0,0.4025,0.4025
3300.0,0.0,0.4033,0.4033
3400.0,0.0,0.4027,0.4027
3500.0,0.0,0.403,0.403
3600.0,0.0,0.4034,0.4034
3700.0,0.0,0.4044,0.4044
3800.0,0.0,0.404,0.404
3900.0,0.0,0.4046,0.4046
4000.0,0.0,0.4041,0.4041
4100.0,0.0,0.4025,0.4025
4200.0,0.0,0.403,0.403
4300.0,0.0,0.403,0.403
4400.0,0.0,0.4029,0.4029
4500.0,0.0,0.4025,0.4025
4600.0,0.0,0.4017,0.4017
4700.0,0.0,0.4031,0.4031
4800.0,0.0,0.4025,0.4025
4900.0,0.0,0.4007,0.4007
5000.0,0.0,0.4018,0.4018
5100.0,0.0,0.4022,0.4022
5200.0,0.0,0.4015,0.4015
5300.0,0.0,0.4004,0.4004
5400.0,0.0,0.4022,0.4022
5500.0,0.0,0.4008,0.4008
5600.0,0.0,0.4005,0.4005
5700.0,0.0,0.4005,0.4005
5800.0,0.0,0.4018,0.4018
5900.0,0.0,0.4015,0.4015
6000.0,0.0,0.4016,0.4016
6100.0,0.0,0.4026,0.4026
6200.0,0.0,0.4011,0.4011
6300.0,0.0,0.4021,0.4021
6400.0,0.0,0.4021,0.4021
6500.0,0.0,0.4015,0.4015
6600.0,0.0,0.4012,0.4012
6700.0,0.0,0.3998,0.3998
6800.0,0.0,0.4005,0.4005
6900.0,0.0,0.4,0.4
7000.0,0.0,0.3998,0.3998
7100.0,0.0,0.4008,0.4008
7200.0,0.0,0.3995,0.3995
7300.0,0.0,0.4006,0.4006
7400.0,0.0,0.3995,0.3995
7500.0,0.0,0.4013,0.4013
7600.0,0.0,0.3998,0.3998
7700.0,0.0,0.4005,0.4005
7800.0,0.0,0.4004,0.4004
7900.0,0.0,0.4007,0.4007
8000.0,0.0,0.4002,0.4002
8100.0,0.0,0.3991,0.3991
8200.0,0.0,0.4015,0.4015
8300.0,0.0,0.3997,0.3997
8400.0,0.0,0.4008,0.4008
8500.0,0.0,0.3999,0.3999
8600.0,0.0,0.3997,0.3997
8700.0,0.0,0.4006,0.4006
8800.0,0.0,0.3985,0.3985
8900.0,0.0,0.3999,0.3999
9000.0,0.0,0.3982,0.3982
9100.0,0.0,0.3994,0.3994
9200.0,0.0,0.3992,0.3992
9300.0,0.0,0.4,0.4
9400.0,0.0,0.3999,0.3999
9500.0,0.0,0.3991,0.3991
9600.0,0.0,0.3985,0.3985
9700.0,0.0,0.3996,0.3996
9800.0,0.0,0.3983,0.3983
9900.0,0.0,0.4003,0.4003
10000.0,0.0,0.3978,0.3978
10100.0,0.0,0.3976,0.3976
10200.0,0.0,0.399,0.399
10300.0,0.0,0.3985,0.3985
10400.0,0.0,0.3988,0.3988
10500.0,0.0,0.3981,0.3981
10600.0,0.0,0.3995,0.3995
10700.0,0.0,0.3987,0.3987
10800.0,0.0,0.3981,0.3981
10900.0,0.0,0.4,0.4
11000.0,0.0,0.3989,0.3989
11100.0,0.0,0.3997,0.3997
11200.0,0.0,0.3986,0.3986
11300.0,0.0,0.4001,0.4001
11400.0,0.0,0.3986,0.3986
11500.0,0.0,0.3989,0.3989
11600.0,0.0,0.3991,0.3991
11700.0,0.0,0.3973,0.3973
11800.0,0.0,0.3969,0.3969
11900.0,0.0,0.3986,0.3986
12000.0,0.0,0.3965,0.3965
12100.0,0.0,0.3992,0.3992
12200.0,0.0,0.3972,0.3972
12300.0,0.0,0.3981,0.3981
12400.0,0.0,0.3983,0.3983
12500.0,0.0,0.3971,0.3971
12600.0,0.0,0.3982,0.3982
12700.0,0.0,0.3991,0.3991
12800.0,0.0,0.3981,0.3981
12900.0,0.0,0.3973,0.3973
13000.0,0.0,0.3975,0.3975
13100.0,0.0,0.3981,0.3981
13200.0,0.0,0.3973,0.3973
13300.0,0.0,0.3981,0.3981
13400.0,0.0,0.3984,0.3984
13500.0,0.0,0.3995,0.3995
13600.0,0.0,0.3975,0.3975
13700.0,0.0,0.398,0.398
13800.0,0.0,0.3957,0.3957
13900.0,0.0,0.3979,0.3979
14000.0,0.0,0.3972,0.3972
14100.0,0.0,0.3977,0.3977
14200.0,0.0,0.3964,0.3964
14300.0,0.0,0.3962,0.3962
14400.0,0.0,0.3965,0.3965
14500.0,0.0,0.3974,0.3974
14600.0,0.0,0.3971,0.3971
14700.0,0.0,0.3981,0.3981
14800.0,0.0,0.398,0.398
14900.0,0.0,0.3977,0.3977
15000.0,0.0,0.3962,0.3962
15100.0,0.0,0.3971,0.3971
15200.0,0.0,0.3973,0.3973
15300.0,0.0,0.397,0.397
15400.0,0.0,0.3974,0.3974
15500.0,0.0,0.3975,0.3975
15600.0,0.0,0.397,0.397
15700.0,0.0,0.3968,0.3968
15800.0,0.0,0.3963,0.3963
15900.0,0.0,0.3961,0.3961
16000.0,0.0,0.3947,0.3947
16100.0,0.0,0.3971,0.3971
16200.0,0.0,0.3963,0.3963
16300.0,0.0,0.3977,0.3977
16400.0,0.0,0.3975,0.3975
16500.0,0.0,0.3976,0.3976
16600.0,0.0,0.3956,0.3956
16700.0,0.0,0.3964,0.3964
16800.0,0.0,0.3965,0.3965
16900.0,0.0,0.3952,0.3952
17000.0,0.0,0.3954,0.3954
17100.0,0.0,0.3945,0.3945
17200.0,0.0,0.3959,0.3959
17300.0,0.0,0.3973,0.3973
17400.0,0.0,0.3942,0.3942
17500.0,0.0,0.395,0.395
17600.0,0.0,0.3966,0.3966
17700.0,0.0,0.3976,0.3976
17800.0,0.0,0.3953,0.3953
17900.0,0.0,0.3961,0.3961
18000.0,0.0,0.395,0.395
18100.0,0.0,0.3957,0.3957
18200.0,0.0,0.3945,0.3945
18300.0,0.0,0.3944,0.3944
18400.0,0.0,0.3953,0.3953
18500.0,0.0,0.3958,0.3958
18600.0,0.0,0.3954,0.3954
18700.0,0.0,0.3954,0.3954
18800.0,0.0,0.3943,0.3943
18900.0,0.0,0.3953,0.3953
19000.0,0.0,0.3942,0.3942
19100.0,0.0,0.3947,0.3947
19200.0,0.0,0.3955,0.3955
19300.0,0.0,0.3955,0.3955
19400.0,0.0,0.3956,0.3956
19500.0,0.0,0.3957,0.3957
19600.0,0.0,0.3948,0.3948
19700.0,0.0,0.396,0.396
19800.0,0.0,0.3965,0.3965
19900.0,0.0,0.3946,0.3946
20000.0,0.0,0.395,0.395
20100.0,0.0,0.3949,0.3949
20200.0,0.0,0.3952,0.3952
20300.0,0.0,0.3958,0.3958
20400.0,0.0,0.3947,0.3947
20500.0,0.0,0.3939,0.3939
20600.0,0.0,0.395,0.395
20700.0,0.0,0.3942,0.3942
20800.0,0.0,0.3942,0.3942
20900.0,0.0,0.3949,0.3949
21000.0,0.0,0.3949,0.3949
21100.0,0.0,0.3928,0.3928
21200.0,0.0,0.3961,0.3961
21300.0,0.0,0.3937,0.3937
21400.0,0.0,0.3954,0.3954
21500.0,0.0,0.3941,0.3941
21600.0,0.0,0.3943,0.3943
21700.0,0.0,0.3953,0.3953
21800.0,0.0,0.3945,0.3945
21900.0,0.0,0.3945,0.3945
22000.0,0.0,0.3946,0.3946
22100.0,0.0,0.3935,0.3935
22200.0,0.0,0.3937,0.3937
22300.0,0.0,0.3952,0.3952
22400.0,0.0,0.3955,0.3955
22500.0,0.0,0.3933,0.3933
22600.0,0.0,0.3941,0.3941
22700.0,0.0,0.3936,0.3936
22800.0,0.0,0.3932,0.3932
22900.0,0.0,0.3952,0.3952
23000.0,0.0,0.3939,0.3939
23100.0,0.0,0.3947,0.3947
23200.0,0.0,0.3937,0.3937
23300.0,0.0,0.3945,0.3945
23400.0,0.0,0.3936,0.3936
23500.0,0.0,0.3947,0.3947
23600.0,0.0,0.392,0.392
23700.0,0.0,0.3942,0.3942
23800.0,0.0,0.3927,0.3927
23900.0,0.0,0.3939,0.3939
24000.0,0.0,0.3946,0.3946
24100.0,0.0,0.3929,0.3929
24200.0,0.0,0.3936,0.3936
24300.0,0.0,0.3956,0.3956
24400.0,0.0,0.393,0.393
24500.0,0.0,0.394,0.394
24600.0,0.0,0.394,0.394
24700.0,0.0,0.3927,0.3927
24800.0,0.0,0.3924,0.3924
24900.0,0.0,0.3939,0.3939
25000.0,0.0,0.3939,0.3939
25100.0,0.0,0.394,0.394
25200.0,0.0,0.3954,0.3954
25300.0,0.0,0.3932,0.3932
25400.0,0.0,0.3948,0.3948
25500.0,0.0,0.3933,0.3933
25600.0,0.0,0.3946,0.3946
25700.0,0.0,0.3923,0.3923
25800.0,0.0,0.3927,0.3927
25900.0,0.0,0.3927,0.3927
26000.0,0.0,0.3942,0.3942
26100.0,0.0,0.3932,0.3932
26200.0,0.0,0.396,0.396
26300.0,0.0,0.3939,0.3939
26400.0,0.0,0.3926,0.3926
26500.0,0.0,0.3928,0.3928
26600.0,0.0,0.3941,0.3941
26700.0,0.0,0.3941,0.3941
26800.0,0.0,0.3922,0.3922
26900.0,0.0,0.3932,0.3932
27000.0,0.0,0.3914,0.3914
27100.0,0.0,0.3936,0.3936
27200.0,0.0,0.3934,0.3934
27300.0,0.0,0.3936,0.3936
27400.0,0.0,0.3929,0.3929
27500.0,0.0,0.3921,0.3921
27600.0,0.0,0.3927,0.3927
27700.0,0.0,0.3938,0.3938
27800.0,0.0,0.3935,0.3935
27900.0,0.0,0.3927,0.3927
28000.0,0.0,0.3934,0.3934
28100.0,0.0,0.3921,0.3921
28200.0,0.0,0.3928,0.3928
