step,mloss,gloss,loss
10.0,0.0,0.7053,0.7053
20.0,0.0,0.6076,0.6076
30.0,0.0,0.5489,0.5489
40.0,0.0,0.5499,0.5499
50.0,0.0,0.5514,0.5514
60.0,0.0,0.5327,0.5327
70.0,0.0,0.5422,0.5422
80.0,0.0,0.5519,0.5519
90.0,0.0,0.5508,0.5508
100.0,0.0,0.5525,0.5525
110.0,0.0,0.5467,0.5467
120.0,0.0,0.5438,0.5438
130.0,0.0,0.5449,0.5449
140.0,0.0,0.5398,0.5398
150.0,0.0,0.5476,0.5476
160.0,0.0,0.5437,0.5437
170.0,0.0,0.5347,0.5347
180.0,0.0,0.5454,0.5454
190.0,0.0,0.5444,0.5444
200.0,0.0,0.5455,0.5455
210.0,0.0,0.5353,0.5353
220.0,0.0,0.5353,0.5353
230.0,0.0,0.5249,0.5249
240.0,0.0,0.5331,0.5331
250.0,0.0,0.5265,0.5265
260.0,0.0,0.5252,0.5252
270.0,0.0,0.5179,0.5179
280.0,0.0,0.5188,0.5188
290.0,0.0,0.519,0.519
300.0,0.0,0.5141,0.5141
310.0,0.0,0.5115,0.5115
320.0,0.0,0.5116,0.5116
