step,mloss,gloss,loss
10.0,0.0,0.7444,0.7444
20.0,0.0,0.6623,0.6623
30.0,0.0,0.5333,0.5333
40.0,0.0,0.541,0.541
50.0,0.0,0.521,0.521
60.0,0.0,0.5048,0.5048
70.0,0.0,0.4977,0.4977
80.0,0.0,0.4905,0.4905
90.0,0.0,0.4791,0.4791
100.0,0.0,0.4766,0.4766
110.0,0.0,0.4681,0.4681
120.0,0.0,0.4605,0.4605
130.0,0.0,0.4597,0.4597
140.0,0.0,0.4569,0.4569
150.0,0.0,0.4556,0.4556
160.0,0.0,0.4591,0.4591
170.0,0.0,0.4597,0.4597
180.0,0.0,0.4505,0.4505
190.0,0.0,0.4529,0.4529
200.0,0.0,0.4498,0.4498
210.0,0.0,0.4529,0.4529
220.0,0.0,0.4516,0.4516
230.0,0.0,0.4568,0.4568
