step,mloss,gloss,loss
10.0,0.0,0.9951,0.9951
20.0,0.0,0.9922,0.9922
30.0,0.0,0.9214,0.9214
40.0,0.0,0.6944,0.6944
50.0,0.0,0.6774,0.6774
60.0,0.0,0.6305,0.6305
70.0,0.0,0.5529,0.5529
80.0,0.0,0.549,0.549
90.0,0.0,0.5332,0.5332
100.0,0.0,0.5313,0.5313
110.0,0.0,0.5259,0.5259
120.0,0.0,0.5304,0.5304
130.0,0.0,0.5124,0.5124
140.0,0.0,0.506,0.506
150.0,0.0,0.5006,0.5006
160.0,0.0,0.5023,0.5023
170.0,0.0,0.509,0.509
180.0,0.0,0.4988,0.4988
190.0,0.0,0.4876,0.4876
200.0,0.0,0.4866,0.4866
210.0,0.0,0.4965,0.4965
220.0,0.0,0.4868,0.4868
230.0,0.0,0.4917,0.4917
240.0,0.0,0.4812,0.4812
250.0,0.0,0.4892,0.4892
260.0,0.0,0.48,0.48
270.0,0.0,0.4841,0.4841
280.0,0.0,0.4818,0.4818
290.0,0.0,0.4809,0.4809
300.0,0.0,0.478,0.478
310.0,0.0,0.4752,0.4752
320.0,0.0,0.4679,0.4679
330.0,0.0,0.4676,0.4676
340.0,0.0,0.4635,0.4635
350.0,0.0,0.4748,0.4748
360.0,0.0,0.4731,0.4731
370.0,0.0,0.4624,0.4624
380.0,0.0,0.4693,0.4693
390.0,0.0,0.4684,0.4684
400.0,0.0,0.4637,0.4637
